,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,0.0133550898217,0.00757269319106,0.00819609758142,0.00166547220339,0.00409549511229,0.00329204983887,0.00816139979835,-0.0127708716524,0.00417400123185,0.0120688385413,-0.0138377473058
Leucine-rich repeat serine/threonine-protein kinase 2,-0.0217987244004,0.00582716095237,0.042142229343,-0.00240668625204,-0.0447501697156,0.0208080369509,-0.00220811736081,0.0352771463326,-0.0105048579213,0.0316870018568,0.000624774763368
Tyrosyl-DNA phosphodiesterase 1,-0.00239126491945,-0.0106505739821,-0.00673039802487,-0.0128691858315,-5.50204408863e-05,-0.0129841033677,-0.0105080854092,0.0124589622693,-0.00246324234845,0.0134156179287,-0.00477347586857
Transitional endoplasmic reticulum ATPase,0.0125360740178,-0.0309716661317,-0.016812777339,-0.0103719410458,0.0256489675214,-0.0171193169534,-0.00759305838745,0.000396676699935,-0.0108367198189,-0.0321065990781,-0.00695677240759
Glucokinase regulatory protein,-0.0289978902917,0.00645620707159,0.0400094744312,0.00538286789062,-0.0145645945224,0.00639381465385,-0.0218760111836,0.00650374709259,-0.0017435992878,0.00459496822657,-0.0109562220333
Pyruvate kinase isozymes M1/M2,0.00843180620639,-0.0111459275116,0.00843134285307,-0.00123772359153,-0.00356721309147,0.00428166936372,0.012018536632,-0.00700989536065,0.0043754681504,-0.00450966073996,0.00947490090345
Transient receptor potential cation channel subfamily M member 8,0.0137772974525,-0.03885843729,-0.0208888385675,-0.000787380270895,0.0245444942011,-0.0262286521277,0.0145367282726,-0.0148676562412,0.00203012497511,-0.0145845079851,0.0122902791318
G-protein coupled receptor 55,-0.00836848406124,0.0228873429205,-0.000449299070831,0.0042233902577,-0.00876108477485,0.0140014840765,-0.00708523728542,0.0161948739291,-0.00618034016657,0.00950584362665,-0.00451124075809
Endoplasmin,0.000635383758416,0.0486281658355,0.029767573224,0.00364690947873,-0.040717215137,0.0210616148382,0.00120044012355,0.00542126915256,-0.000335120187386,0.0249832345076,-0.00720967810881
Serine/threonine-protein kinase/endoribonuclease IRE1,-0.00683867732008,-0.0120067917407,-0.0105752536308,-0.00297680647057,0.0151816949893,0.00803576831092,0.00653649573378,-0.00936346229321,0.00233785340685,-0.0063265633637,0.0198279097103
Bromodomain-containing protein 4,-0.0120869146291,0.00449112444371,0.0106541774846,0.01929580941,-0.0262774432401,0.00777982266681,-0.0135530176542,0.0231778534908,-0.00306394153108,0.00717028604399,-0.0152142069454
NADPH oxidase 4,0.00981360545159,-0.01886810576,-0.0236829909199,0.00503746751269,0.0219177352035,-0.0245750167319,0.0069518987296,-0.013802698208,0.00487817199277,-0.0159287249265,0.00535800629441
Ketohexokinase,0.0200558722494,-0.0130003626551,-0.00484278563503,-0.0090098359118,0.0269352427617,-0.000972684395625,0.000648365076246,-0.0321879296142,0.00832013573245,-0.0353702728008,-0.000377901306494
Lethal(3)malignant brain tumor-like protein 1,0.0166934776076,-0.0314699524756,-0.00421463986773,-0.0343446672259,0.0328246533959,-0.0108343771101,0.0106436490462,-0.0152377797485,0.00204079140721,-0.0083697951714,-0.000536383392071
