,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.0233210412832,-0.00528702643469,0.0142469381549,0.0193461773583,0.00153478322878,0.00197269747168,-0.0142848891143,0.0119863224044,0.00161947398396,-0.00586133702453,0.000154846375069
Leucine-rich repeat serine/threonine-protein kinase 2,-0.0115011146096,0.00588639685875,0.0277184578597,0.00572904853312,0.00515225501093,-0.00560926566533,0.00474217075444,0.00815889753229,0.000443594571491,-0.00975083977873,-0.00570333368711
Tyrosyl-DNA phosphodiesterase 1,-0.000974703309044,-0.00166351372783,0.00720781641143,0.0021998492948,0.0171214791869,0.00274363649941,-0.000974510654855,-0.0179510538905,-0.00211654152824,0.00380432026048,0.00209265158583
Transitional endoplasmic reticulum ATPase,-0.00151192307693,0.009264634872,-0.00241012684071,0.00124142979854,-0.00507089062165,0.00522736948497,-0.00162904898769,-0.00538265675821,-0.000367681996174,0.0121424291393,-0.0126576931373
Glucokinase regulatory protein,-0.0320680065555,0.00984124755508,0.0276219799746,0.0314828283141,0.0103902014293,-0.00509425007366,0.00351200677941,-0.0239742615933,0.0123487925643,0.00632547571384,0.00522620343814
Pyruvate kinase isozymes M1/M2,-0.0144258138992,-0.00380439590594,0.0100446607587,0.00350232453731,-0.00759441524802,-0.0229652600386,0.0223199262795,0.0241412533489,0.0123517360932,0.00409917542363,-0.00419161965187
Transient receptor potential cation channel subfamily M member 8,0.00425991895523,-0.00293067972473,-0.00294638405442,0.00136469435146,-0.0027688453256,0.00314586431973,-0.00697305731847,-0.00904290806379,-0.0119132176419,-0.00193898590797,0.00881036096737
G-protein coupled receptor 55,-0.03025831797,0.00708447788986,0.00714110707748,0.0278437292341,-0.00584366235141,0.0119061497628,-0.00238063951574,0.00407672514388,0.00979425562026,0.00516903511609,0.00116213717024
Endoplasmin,0.0205524509055,0.00202580092253,-0.0091121760025,-0.0211179242572,-0.00899972323154,0.00253164715592,-0.00950047254661,0.00186572871549,-0.00902006260696,-0.006482538635,0.00928056981587
Serine/threonine-protein kinase/endoribonuclease IRE1,0.00692204604846,-0.00797536845923,-0.00522612770055,0.0141979370918,0.0228268764607,-0.00658494816857,0.00244427910175,-0.036280845123,0.00288959114918,0.00366984816663,0.0196192367998
Bromodomain-containing protein 4,-0.0115725948516,-0.0108750700109,-0.0164044897004,7.74333320047e-05,0.0156720058254,0.00859263986577,0.00324319608587,-0.0112077798809,-0.00506467417745,-0.00940265049271,-0.00511979943919
NADPH oxidase 4,0.0480773797436,-0.0126332534093,-0.0217171343122,-0.0342114530672,0.00927784557848,0.00760773098927,-0.0177172910796,-0.0157514027747,-0.00960892057146,-0.0138105328035,-0.0156111466715
Ketohexokinase,-0.00314401269483,-0.0112235459653,-0.00185733018702,-0.00109256751359,0.0116261928329,0.00142730446823,0.00593647221063,-0.0016329084014,-0.00373626563606,0.000703770403772,0.00137465203137
Lethal(3)malignant brain tumor-like protein 1,0.00309240062332,0.00875989149743,-0.00718374995611,-0.00467506930656,-0.0259272394173,0.00694768266978,-0.00428133516915,0.0258391827008,-0.0060530522018,-0.00750716385518,0.00358978683639
Lethal(3)malignant brain tumor-like protein 3,0.0119454494725,0.00278765680482,0.000578649913949,-0.00322926240734,-0.0156617552431,-0.00319209846934,0.00236400003438,0.0124397717552,0.0080851077471,0.00512886659355,0.00498724968017
Microtubule-associated protein tau,0.0162620040122,0.00757889124259,0.00254181745689,-0.0228771421557,0.00544230527212,0.000390844601171,-0.00548529495085,-0.00368009644679,-0.00807821664315,0.00112963697925,-0.016351326676
15-hydroxyprostaglandin dehydrogenase [NAD+],-0.0233100513846,-0.0192690768398,0.0166318474313,0.0290111846864,0.032923325982,-0.0160390590539,-0.00659331224275,-0.0358205341241,0.00685588529073,0.0113142124067,0.00785429199926
G-protein coupled receptor 35,0.00981884055462,-0.00447304908137,0.00929078855004,-0.0159422564305,-0.00673378759569,0.00824436987559,-0.0152540385734,0.00608522424093,-0.0101436211101,0.00193624450357,0.00172657177616
Bromodomain-containing protein 2,-0.0028511188073,0.00566330331572,0.00169045190047,0.000119117906597,0.00817358525601,0.00448774111317,-0.0152577684045,-0.00580524001256,-0.00373132491876,-0.0101616729061,0.00394343134009
ATP-sensitive inward rectifier potassium channel 1,-0.0127676731474,-0.00128172206068,0.0147183423474,0.0173693022174,-0.00385278102788,-0.00619625236052,0.00127078162489,-0.000315155696314,0.00695080508806,-0.00197826225719,0.00753357210259
Neuropeptides B/W receptor type 1,0.00958219852188,0.0161067926262,-0.00112369402807,-0.000664532048734,-0.0196228290655,0.00545061254828,-0.00207771048174,0.0180295320581,0.0016521092481,-0.00431784818296,-0.00429585130514
Menin,-0.036679809955,0.00390608085121,-0.00456592632403,0.0228022926804,0.0256104271199,0.00226098491327,0.00757648226593,-0.0119429561895,0.00298380774175,0.0139983271355,0.00458013199035
Nuclear receptor ROR-gamma,-0.00470845128627,0.00476736080493,-0.00830414820006,-0.00106423718304,-0.0214859046429,0.00601755916085,0.0174095126008,0.0352444232261,0.00192778536503,0.00441039009764,0.00595818829376
Enteropeptidase,0.00730060727867,-0.0153624650186,-0.00175101855667,-0.0128882241382,0.0270221568525,-0.013827018529,0.00053580215457,-0.0276542268464,-0.00567436549643,-0.00604798200307,-0.0198308468186
Endothelial PAS domain-containing protein 1,0.012489327418,0.00380329615497,-0.00573455905074,-0.00620864047948,-0.00910277778763,0.00603112345245,-0.00404891015329,0.00802842399605,-0.0011153665359,-0.00452761907248,-0.013906769394
Nicotinamide phosphoribosyltransferase,0.00580745339388,0.00525458414804,-0.0106242693543,-0.00356602613495,-0.00822634583277,0.00165183488787,0.00196524865016,0.0182234024025,0.00543659896403,-0.00112280170301,-0.00584068874705
Replication protein A 70 kDa DNA-binding subunit,0.0260741407686,0.0171601996687,-0.0341951012849,-0.0438231242233,-0.0367229037662,0.0240471576648,0.00841256561785,0.0372878425147,-0.00548702902035,0.0158535846098,0.0136662300923
DNA topoisomerase I,-0.0190328298345,-0.00111805151072,0.0139795258751,0.0162025503828,-0.00164565708491,0.000769533787149,-0.000104161242776,-0.0052852308368,0.00483683372253,-0.00596645540076,0.0041865281944
Farnesyl diphosphate synthase,-0.0288940218887,-0.00346464139958,0.0041735410647,0.0334630100036,-0.0111682903834,0.00121979813363,0.00845001108383,-0.00262584336174,0.0205246590748,-0.00753384448378,0.0135322619177
Glucagon-like peptide 1 receptor,0.00722694065453,0.000843178335518,0.0253650885315,-0.00403576826256,-0.00107729576612,-0.0136174587363,0.000913082950122,0.0122093869313,-0.00844992771326,-0.00267226907305,-0.00519130972756
Endothelin receptor ET-B,0.00443813019539,-0.0161413002823,-0.0212086067899,0.00549500635931,0.0223008895696,-0.000553034281045,0.00109247596426,-0.0203111411636,-0.00232909565139,0.00736980473915,0.00640361451589
Steroid 5-alpha-reductase 1,-0.0190770739223,-0.00231820588352,0.0126958246716,0.0160489214001,0.0100686356916,0.00454466283058,-0.00804966054592,0.00792956484879,-0.00860888653167,-0.00595771021391,-0.0114171362366
Vasopressin V2 receptor,-0.00337786115855,0.00144472039527,0.000457329599161,0.0004370993638,-0.00121345432272,-7.43836394688e-05,0.00899493996248,0.0053877846633,-0.00442803827592,-0.00842587210743,-0.00647086016765
Somatostatin receptor 5,0.0249063313772,-0.00815951634813,-0.00592789861944,-0.0182912094336,-0.0136914802291,0.00572593075109,-0.00894916546094,0.0200477695704,0.00197688359885,-0.0231359921463,-0.00179987717808
