,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,0.0085480956913,0.0033760390734,0.00377580407558,0.00207044471605,-0.0285492770821,-0.000194272003222,-0.0122021967326,0.0181323353598,-0.0245513342649,-0.0185571285867,0.0114301689241
Leucine-rich repeat serine/threonine-protein kinase 2,-0.0278262867391,0.000872684099747,0.00255618456132,0.0169475247204,-0.0405336433448,-0.0077324188795,-0.000134143394634,0.0195885758499,0.0163158382092,-0.00393069349427,-0.010027978316
Tyrosyl-DNA phosphodiesterase 1,-0.0202528586864,0.0192301209777,0.00114048193409,0.0133724069648,-0.0142970991495,0.00523280630125,-4.09775583017e-05,0.0159189358796,0.0034432050581,-0.00692191565444,0.00453065339312
Transitional endoplasmic reticulum ATPase,0.0360163090892,-0.00782814234398,-0.00586217968172,0.0248738844646,0.0231903981425,-0.0114574052195,-0.00654453822495,-0.00250541159148,-0.0268739345809,0.0124267385399,0.00969549360653
Glucokinase regulatory protein,-0.0197749847943,-0.0286813311066,-0.0109375191025,-0.0115231813383,0.0177174596038,0.0178242231877,0.0297010992123,-0.00698376897458,-0.00143659654287,-0.0116468854972,-0.00774187110844
Pyruvate kinase isozymes M1/M2,0.0152066675031,0.00592950656775,0.00403140720571,-0.00578025804121,-0.00458250579397,0.00103357191286,-0.00419467000793,0.00801721094112,-0.00581324046879,-0.00407383505363,-0.000321835200553
Transient receptor potential cation channel subfamily M member 8,-0.0150460006187,-0.0146797011683,-0.0104693402772,-0.00374563403724,0.0143749989774,0.0162993741785,0.0118768216797,-0.00739110685748,-0.00726209639236,-0.012350635597,-7.28859555997e-05
G-protein coupled receptor 55,-0.00803889162578,0.000439071625729,-0.00477824719406,0.007875166136,-0.015272822211,-0.00679313330989,-0.000934657415456,0.00469655261793,0.0028965062583,-0.000433439392342,0.00807617896588
Endoplasmin,0.00292224744324,0.00693036763505,-0.00323880425809,-0.00446690173885,0.0110634888144,-0.00358930318394,-0.00377982504437,-0.0139495377683,0.00219379492449,0.000922263993359,0.00769779141932
Serine/threonine-protein kinase/endoribonuclease IRE1,0.000593350996741,0.00233932588788,0.00881271642306,0.0138830479521,-0.018111970636,-0.00913242528058,-0.0039134212847,0.00558383266279,0.0186202883939,0.0130821766612,0.00168871158669
Bromodomain-containing protein 4,-0.0120216989773,-0.0146624432699,0.00444085398029,0.00319709636801,0.00815124637855,0.00479217074866,0.00252169900689,0.00426285762359,0.00893828104494,0.0117611126631,-0.0134006725156
NADPH oxidase 4,0.0026984130151,0.00165204994786,-0.0087228278682,-0.0239824588675,0.0205944916279,0.00221145044452,0.00681108125538,-0.0136751432979,0.000798020465184,-0.00262401310933,0.00569603232847
Ketohexokinase,0.00673629137098,0.00598524214649,-0.00337406223073,0.0109610004069,-0.000509878217086,-0.00298710824478,-0.000862848388327,-0.00205845508,-0.00203676454213,-0.00728001066044,0.00338188820903
Lethal(3)malignant brain tumor-like protein 1,0.0049556540884,-0.0111556855461,0.00487164449186,-0.005277029941,0.00122560954566,0.0175187567356,0.0128334075351,0.00411473403908,-0.0162238096976,-0.00370601151465,-0.00442330732094
Lethal(3)malignant brain tumor-like protein 3,0.022222607238,0.0166639043011,-0.00389969374413,-0.0220340782859,-0.00213233013209,-0.0100428497352,-0.0210150764829,-0.0029766875844,-0.00971077806666,0.0139287958375,0.0113544543951
Microtubule-associated protein tau,-0.0487492897573,-0.00320466709803,-0.00776335324308,0.0345248501487,-0.00656435855596,-0.00146536985705,0.00799452754802,0.0148076671995,0.00533560741313,-0.00436074736939,-0.0110082740138
15-hydroxyprostaglandin dehydrogenase [NAD+],0.0374636722572,0.00983136180618,0.0126014129161,0.00662172902146,-0.0141596229422,-0.010810361976,-0.0112350587797,-0.000119656551264,-0.0198535134646,0.00275357340076,0.0169649438181
G-protein coupled receptor 35,-0.0444650730275,-0.000983250211679,-0.00865946852793,0.0292086853735,0.0146301087131,0.0142558687476,0.0083681860082,-0.00309528426315,0.0222279812637,0.00205603967904,-0.00118738722235
Bromodomain-containing protein 2,-0.0131016975002,-0.00413934675325,-0.000749904369826,0.00928739295271,-0.00949670669855,0.00292904304648,0.00304564158118,0.0133212917154,0.020983158082,-0.00676745819237,-0.00693939379436
ATP-sensitive inward rectifier potassium channel 1,0.00652995010092,-0.00304741776349,-0.0127614818503,-0.0175246899527,0.0367590229802,-0.00703644134517,0.00901520170307,-0.0207769728547,-0.00225088955128,0.0167341291063,0.000567769029827
Neuropeptides B/W receptor type 1,0.0127135120188,0.0145001443511,0.0125826454072,-0.0234592193965,-0.0323784643445,-0.00454818203529,-0.0124047862263,-0.000967863665824,0.0141330118621,-0.0252497337269,-0.0162524725816
Menin,0.00938856367856,0.00374773186737,0.00189228207142,-0.00944771448069,-0.00126981726521,-0.0158940283192,-0.00641346435376,0.00976136084068,-0.0141214398361,0.00810615583819,-0.000889014207879
Nuclear receptor ROR-gamma,0.00940333185042,0.0063311918049,-0.00194194464726,0.00290120943783,0.0120490389332,0.00356849933543,-0.00630063852491,-0.0202227243785,-0.00179098675534,0.00848832427222,-0.00180306865363
Enteropeptidase,0.000510945431885,-0.0180397314568,0.00133311532792,-0.00248236450573,-0.00717909466824,0.0173813954484,0.00407031647911,-0.00569972727401,-0.0196011603527,-0.0145846353741,0.00868513733185
Endothelial PAS domain-containing protein 1,-0.0209399273097,-0.0150722302698,0.00214560203516,0.00765265615393,-0.00823812537219,0.0101593342374,0.01210188004,0.0246971244347,3.4088614149e-05,-0.00082507051636,2.98636069002e-05
Nicotinamide phosphoribosyltransferase,0.000327890893154,-0.0019915564931,0.0130206313747,0.00368856723895,-0.00420627603467,-0.00140901569949,-0.00562786957368,0.00151549760392,0.0214239554089,0.00557582377071,-0.00745648641314
Replication protein A 70 kDa DNA-binding subunit,-0.00293182476277,-0.0228686262211,-0.0240975515521,0.00446303610878,0.0122620088722,-0.00182951511889,0.00595355531948,0.00153389690158,-0.00686426739936,-0.000636623589441,0.0077674489993
DNA topoisomerase I,-0.0183268855783,0.00161395531243,-0.0121563194857,0.0154992894594,0.000697361305701,-0.000616699312666,0.0123518292524,0.0140413639513,-2.39352572513e-05,-0.0126754621912,-0.00438297052995
Farnesyl diphosphate synthase,0.0189872269473,0.0144135706653,0.00114956399719,-0.0274113909352,0.0053138386266,-0.0074722529087,0.00405929900581,0.0030017391301,0.0014790047533,0.00780481140141,0.00471010910386
Glucagon-like peptide 1 receptor,-0.00234608487225,-0.010509434694,-0.00468746861131,0.0331206565525,0.0225554478345,-0.00367911576388,-0.00365986115435,-0.00750652691226,-0.015262636738,0.00691231805549,0.0100429842953
Endothelin receptor ET-B,0.0108708581231,0.000616309990644,0.0112478186258,0.0269550465954,-0.00550917343428,0.00128255467284,-0.00313724118632,0.0108699101856,-0.0287303471065,0.00347046521002,-0.000910919093418
Steroid 5-alpha-reductase 1,-0.00941118307697,0.00408899413004,-0.00264222780126,-0.00834927114276,-0.00744768837781,0.00290599007213,-0.00280639995695,-0.00262014952034,0.0137600628483,-0.012489988149,-0.000824200966732
Vasopressin V2 receptor,0.00288765218093,0.0161207071125,-0.00922674455941,-0.0097865055476,-0.0108913158888,-0.0164553824603,-0.00467785717164,0.00156964091923,0.00550372354486,0.00931906327368,-0.00444146195709
Somatostatin receptor 5,-0.00730079598654,-0.00202833039158,0.00250566005923,-0.016461817923,0.00894710236207,0.00493033715433,-0.00235486144884,-0.0139255476976,0.020012359459,0.0111472311606,-0.00956826234693
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",0.00296631651824,0.00451851000456,0.0183914290761,0.00632841878903,-0.0187708651487,0.00971772593594,-0.00285860436567,0.0012104640228,0.00944330379681,9.36491478297e-05,-0.00324240510083
Transmembrane protease serine 6,0.0134031798932,0.0270247000246,0.0171385735921,-0.00840342131842,-0.00949204549208,-0.00451386160934,-0.0118304548821,-0.0100653152403,0.00201062928705,-0.00435247823277,0.00107464631717
Bromodomain-containing protein 3,0.00950417464865,0.00303319725071,0.00128973322428,-0.0102055212027,0.00517981479426,0.00397828154038,0.000993537249072,-0.00154143297852,0.00701131417934,0.00231316372683,0.00779450912769
Cysteinyl leukotriene receptor 1,0.0280780215053,-0.000403905238526,-0.0111776684168,-0.0235765771928,0.0209978460281,-0.00439106117878,0.0028619753595,-0.0194056279196,-0.00843053771529,-0.00353401688723,0.000886791975077
Corticotropin releasing factor receptor 1,-0.0263913955142,0.000504326985717,-0.00481389373077,0.0380532361212,0.00947668481862,0.00969140155064,0.00707866208615,0.00620282147953,-0.0207218784877,-0.00680656878882,0.00439210602669
Plasminogen,-0.00597373903973,-0.00474260725573,-0.0122837241773,-0.00326922773091,-0.000877660947242,-0.0127696402388,0.004198471098,0.00537206479707,-0.0171867410994,-0.0120956779536,-0.00069200080355
Leukocyte adhesion glycoprotein LFA-1 alpha,-0.0155695124058,-0.0092329271301,0.013918765874,-0.000952284056073,-0.0276415512569,-0.00867147655218,-0.00915581171907,0.0156447225212,0.00252376398849,0.00433838824295,-0.0179402262924
Somatostatin receptor 2,0.00444625180596,-0.000419313840128,-0.00599916503285,-0.00465858539871,-0.0142530194371,-0.00814279194343,0.0109957341035,0.0169989777898,-0.000988220839721,-0.0114569090844,0.00479884097934
DNA topoisomerase II alpha,-0.0114765906016,-0.0020069313127,0.0055001382968,0.0212889223287,-0.00222453828195,0.0129038916319,-0.00370335761086,0.0119802556536,0.00303066585515,0.00433138847411,0.0163825043294
Angiotensin-converting enzyme,0.0199802075504,-0.0128716649836,-0.00100778175367,-0.00250122671924,0.00570680916288,0.00295440941823,-0.00654433798356,-0.00594949764084,0.00374553902567,0.00738289150208,-0.00194250638879
Prostanoid EP1 receptor,-0.0099428833335,-0.00374524960899,-0.00889940752056,-0.00577183714124,0.0206919712525,-0.00833451413046,0.0054953513151,-0.00986393606283,0.00560620181462,0.01627138908,-0.0032886987278
Muscarinic acetylcholine receptor M4,0.0314458591564,0.0149486968473,0.0148616096039,-0.0456616303924,-0.0011566667442,0.00808240949638,-0.00517513720564,-0.0167778801496,0.00254718742429,-0.00353366053654,-0.00628303766615
Inosine-5'-monophosphate dehydrogenase 1,-0.00828476730074,0.00184531141495,0.0154859940562,0.00316830099156,-0.0102447254439,0.00367334461444,-0.0103113087321,-0.000945848367788,0.0162252545964,0.0035029058837,-0.00699101503271
Receptor protein-tyrosine kinase erbB-2,0.0126546931451,-0.0143047563882,-0.0203711655179,-7.56343005208e-05,0.0277459766426,0.00253329122632,0.0142266595303,-0.00811957835792,-0.0196657112873,-0.00115072849615,0.013385550717
TNF-alpha,-0.0261072530893,0.00556702700196,0.00944025708451,0.0321214415786,-0.0306137801911,0.00171646962982,0.000586890060714,0.0189891606431,0.00435441032763,-0.0129269693719,-0.00696013612494
