,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.00397916734561,0.0019376842102,-0.00389955581792,0.0312731365264,-0.0263786572918,0.0124992439113,-0.00588110623585,0.013026061889,-0.0234576450802,0.0236220910744,-0.0123687976374
Leucine-rich repeat serine/threonine-protein kinase 2,0.00538664126303,0.00898386508552,-0.00279264198118,-0.00919874680655,-0.0302574631668,-0.00687394736943,-0.00489254303797,0.0187605427301,-0.0154219494775,0.0142527399175,-0.00625181323984
Tyrosyl-DNA phosphodiesterase 1,-0.00610605176574,-0.00752883787771,-0.0148944107322,0.0137164528151,0.00940241602043,-7.35701022054e-05,-0.00560793213907,-0.0129464197709,-0.0199086913557,0.00720584706149,-0.0112380661744
Transitional endoplasmic reticulum ATPase,-0.00758047527548,-0.00104934728174,0.0197873746094,0.00384008481919,-0.0171837577168,0.00185893227559,0.000509998848627,0.0034183240462,-0.00789580789222,0.00979267152058,-0.0028613232648
Glucokinase regulatory protein,0.0116507328715,0.00586100364553,-0.00670458914867,-0.0232490043715,-0.00402874905063,1.55080634493e-05,0.00897364916006,0.0109402180552,-0.00582878311818,0.00812753416289,-0.00516812948513
Pyruvate kinase isozymes M1/M2,0.0194729163772,-0.00111662679709,-0.00869676330832,-0.00995914626908,0.000134304172673,0.000918552014797,-0.0121034842835,0.013709878914,-0.00931013551262,0.00599013231175,0.00716180682672
Transient receptor potential cation channel subfamily M member 8,0.00254766018165,-0.00567287294459,-0.00293392632489,-0.00355026100266,0.00177972282128,0.00909043871102,0.00460473640161,-0.0136587643486,0.00480896519684,0.00303272204144,-0.00618194695858
G-protein coupled receptor 55,0.00625592706865,-0.0100428216415,0.0293580576856,-0.00697891982832,-0.00679802779453,-0.00664563896094,-0.0106621695879,-0.0195174336029,-0.0104529168424,0.0128299782103,-0.00648022236231
Endoplasmin,-0.00292582480144,-0.0140974946027,-0.0186029573713,0.00252555675726,0.0104264836821,-0.00851468835068,0.00564690439366,-0.0141088362402,0.0123713648403,-0.00449501888591,-0.0117894720149
Serine/threonine-protein kinase/endoribonuclease IRE1,-0.0213773965492,0.00221659666496,0.00678959447754,0.00241757154915,0.018254461717,0.00917136425706,-0.0107110090984,-0.00334424342377,0.00287703125734,-0.00712868615855,0.00652003754033
