,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.00871461495285,-0.013378145773,-0.0115563986004,0.0075474065118,0.0183350567235,-0.00151724386751,-0.0225782726114,0.00208740203989,-0.016964446944,0.00162623964903,0.0189593350866
Leucine-rich repeat serine/threonine-protein kinase 2,0.0119733971678,-0.00354700608175,-0.0239892997317,-0.0160433545336,-0.0171191243038,0.00794418700864,-0.00545017099269,0.0117031529761,0.0260528623737,-0.0115008803031,-0.0087553535282
Tyrosyl-DNA phosphodiesterase 1,-0.00237062601738,0.00748863796542,-0.0217130814619,0.00324563903313,0.00402940042948,-0.00560231346009,-0.0129714910632,-0.0019758968326,0.00553176665696,0.00246992672798,0.010341614339
Transitional endoplasmic reticulum ATPase,-0.000274299259758,0.00523684356238,-0.000335324429039,0.015180350237,-0.000438008930693,0.00166855537237,-0.00579769008713,0.00661107888858,-0.00428869761779,-0.00775364853809,-0.00392796473618
Glucokinase regulatory protein,0.00330360544632,-0.0241638874332,0.00843160068317,0.0076576982021,-0.00450982586276,-0.00170282058491,-0.0154774217914,0.0175121638232,-0.00586033407602,-0.01130767516,-0.00979282524995
Pyruvate kinase isozymes M1/M2,-0.00891239010422,0.00117889180046,0.00725341507933,-0.00329298717652,-0.00209082589814,-0.00634242342846,0.00810775925753,-0.0171223509917,-0.00121677587012,0.00978703824137,-0.01604184234
Transient receptor potential cation channel subfamily M member 8,-0.0112473094716,0.00402192238469,0.0115224154886,0.00355785831719,0.00211586166063,-0.000364370508514,0.00697944067075,-0.018677064521,-0.0048332041024,0.0193360564827,0.00878568454945
G-protein coupled receptor 55,0.00861862108675,0.0168502959851,0.000631867762809,-0.000566416819931,-0.00852555633517,0.0111153234009,0.00206186205602,0.0099409905879,-0.00347006865043,-0.00607124266182,0.00290659800125
Endoplasmin,0.00435421580964,-0.000727670926253,0.0179193382338,-0.0116688383577,0.00640819689982,-0.00380080183584,0.00207931838424,-0.0145232683731,-0.0108312898075,0.0071601631638,-0.013147831655
Serine/threonine-protein kinase/endoribonuclease IRE1,0.00430147594074,-0.00749044367394,-0.000884519398328,0.0125726705738,-0.0116470769265,0.0103934257213,0.0030051330434,0.0231716813355,0.00946315264593,-0.0216105765909,0.0177749786992
Bromodomain-containing protein 4,-0.00696088440165,0.00120385594813,-0.00638446537661,0.00101567374619,0.00498554030035,-0.00793012965659,-0.0108378800022,-0.00749250134053,-0.00567024279736,0.00407447564051,-0.00418025820808
NADPH oxidase 4,-0.0107448376139,0.00252392989242,-0.0208425730327,0.000619584965307,0.0128928472845,0.0157741198162,-0.0241136134403,0.0149214646237,0.00146964886101,-0.00525059204983,0.00443856280761
Ketohexokinase,0.00737523329383,-0.0146883372439,0.0232789079394,-0.0118343034299,0.00849057477909,-0.0219331775339,0.0124371156212,-0.022085510027,-0.00894593429279,0.00851661303509,-0.0279906888879
Lethal(3)malignant brain tumor-like protein 1,-0.00982009763889,0.00613189123751,0.0024614568072,-0.00496469388983,-0.00506993888353,0.00205499953842,-0.00933970626406,0.00229508168185,0.0120075112544,0.000714308015393,-0.0171229755184
Lethal(3)malignant brain tumor-like protein 3,-0.00355738217997,-0.00147847594761,0.0103964286487,0.00991826544092,-0.00106858006081,-0.00787402705433,0.00866192050996,-0.0037613927896,-0.00351064288857,0.000964263583668,0.0168749402416
Microtubule-associated protein tau,0.0199022382134,0.0160950141661,-0.0287564957775,-0.000515211704297,-0.0026080126317,-0.00428411697651,-0.00720509097963,0.00871084342991,-0.00139684786904,-0.00423709527666,-0.000990377853258
15-hydroxyprostaglandin dehydrogenase [NAD+],-0.020863540885,-0.00650588914127,0.00065474349033,-0.00646334548967,0.0102683388845,0.00460830343524,-0.0224885925785,-0.00149883525256,0.00290088458513,-0.00576105246203,-0.019583320758
G-protein coupled receptor 35,4.31714516282e-05,0.000297463182311,0.00249830817894,0.0102629015775,-0.0158759674281,0.0167703925949,0.0381121819744,0.00670272654991,0.0110879511275,0.00339462363113,0.027381078641
Bromodomain-containing protein 2,0.00395703217485,-0.00868435378108,-0.00272097626432,0.00109776663319,-0.00602660563808,0.0043447218056,0.00894459235279,0.00198205669461,0.0122702272839,0.00173374646259,0.00671066653065
ATP-sensitive inward rectifier potassium channel 1,-0.0107064568389,-0.00661683304435,-0.00809436959919,0.0122340309593,-0.00531020026508,0.00946855397216,0.00964959617294,0.0119588827938,0.00444983816624,0.00340858887864,0.0224928055659
Neuropeptides B/W receptor type 1,-0.00136343538621,0.000963450074995,0.00145165971856,0.00639886746961,0.0198742021878,-0.0122321187622,-0.0338382904756,-0.00682268161598,-0.00111820108769,-0.00547243476273,-0.0250851862622
Menin,-0.0124400750711,0.0030168452245,-0.0050210919962,-0.00841680984592,0.00784535550199,-0.0040448621995,-0.0243951152383,-0.00524065456009,-0.00727644776338,-0.000387171078951,-0.00311345949794
Nuclear receptor ROR-gamma,0.00251272130476,0.00108231110251,0.0143985407907,-0.000151636449535,0.00432195882375,-0.00163671933095,0.00343044599366,0.00780252740102,-0.0174908856175,0.00474681025591,-0.000116914463087
Enteropeptidase,0.0130430896651,0.0154562843621,0.00979077747766,-0.0132424837334,-0.00537123058506,-0.00998256404857,0.00559893536962,-0.00650845868109,-0.0104443839276,0.00108755860871,-0.0285693697046
Endothelial PAS domain-containing protein 1,0.00715069135646,-0.00481053577697,-0.0121944706307,0.00392811442778,-0.00458651364212,0.0111945039962,0.0210634604597,-0.000936241588915,0.0103616620418,0.00580239109863,0.0308418759391
Nicotinamide phosphoribosyltransferase,0.00454958919688,-0.00575031058921,-0.0182306364453,-0.0125031121453,-0.000743265245416,-0.00232618399811,-0.00761402871187,0.0131302159041,0.00712242401202,-0.0142628939574,-0.00577296111373
Replication protein A 70 kDa DNA-binding subunit,0.00830049090703,0.00555320284954,0.00354169939634,-0.0115650473894,0.00369277056909,-0.00481668120462,-0.00518380226641,-0.0193184860297,0.00521784022148,0.00476630229735,-0.00582306019449
