,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.0376287824658,0.0074578435414,0.0259108982159,0.027871509166,0.0252338256074,0.00268412630503,0.0232104790783,-0.0262356066709,0.00555854743542,-0.00540169334211,0.00721086696138
Leucine-rich repeat serine/threonine-protein kinase 2,-0.0209405721737,-0.00853788484378,0.00660797461842,-0.00140704251898,-0.019568743668,0.00953103563892,0.00992384205256,0.0166166687317,0.00814143237235,-0.0112095740608,0.00190539326403
Tyrosyl-DNA phosphodiesterase 1,0.0196054899941,-0.00752347626305,0.0083455470904,-0.00333936799726,-0.0457674717699,0.0104536791439,-0.031298232839,0.0207799472979,0.0109786711258,-0.0168199611731,0.0144862442313
Transitional endoplasmic reticulum ATPase,-0.00825277027345,0.00136484557032,0.00906260234662,-0.0129838783398,0.00487316627795,0.00192007562072,0.0267166845913,-0.0156220067747,0.0178505596218,-0.00572054241338,0.00273522168683
Glucokinase regulatory protein,-0.0330850670228,0.00769161742997,0.0148059033022,0.0170809338233,0.0228826069126,-0.013176182807,0.0190181061872,-0.0245509506919,-0.00131665919616,0.00102867741717,0.0036884926277
Pyruvate kinase isozymes M1/M2,-0.00592955238812,0.00411162073709,0.0104666340483,0.00253041723934,-0.00258388006969,0.00961136433513,-0.00754619357935,-0.00674699622105,-0.00419994393726,-0.00302045744231,0.00735305620915
Transient receptor potential cation channel subfamily M member 8,-0.0107875385804,-0.00269032282418,0.0144062703048,-0.00123589242399,-0.0350607513289,0.0217372166791,-0.0251824587798,0.0223800082816,0.0009903913204,-0.00433007891929,0.0133394915575
G-protein coupled receptor 55,-0.00925703003371,-0.0142266794192,0.00163241378044,-0.0019819174518,-0.00362444909546,0.0046476744382,-0.0144263808213,0.0241856613591,-0.00636318673499,-0.0133360641614,0.0001423853295
Endoplasmin,0.0319675025986,-0.00425091519011,-0.00904185001035,0.000933803473369,-0.00278830952747,-0.0206704798524,-0.0135747966373,0.009093678226,-0.0203569070328,0.00389783390131,0.00188041508449
Serine/threonine-protein kinase/endoribonuclease IRE1,0.0171102451384,0.00460207768482,-0.00620067083017,-0.0271992069317,0.0120416144191,-0.00589566260096,0.0098103656356,-0.0197322351003,0.0109672056419,0.00597989760546,0.00278691486944
Bromodomain-containing protein 4,0.00551178952284,-0.0127738996618,-0.0132311971088,-0.0141656426123,0.0017051607807,0.0094148466897,-0.000149352210117,0.0229434845594,-0.00539532377009,-0.002888226706,-0.016899239009
NADPH oxidase 4,0.000392942624535,-0.00140047789166,-0.0115037651802,0.0117944017553,0.0276326599361,-0.011269160217,0.0173562301306,-0.0160442089895,-0.00810063146915,0.00349198563588,-0.0165815821337
Ketohexokinase,-0.00395643862625,-0.00738126374924,0.0123158597301,0.000488356650207,-0.0150718557036,0.000533661549731,-0.012277445291,0.00540861428613,0.00219994804012,-0.0158877152428,0.00709777130979
Lethal(3)malignant brain tumor-like protein 1,0.0120814197238,0.0153406834705,-0.00666183502363,-0.0104350243553,-0.00235652722671,-0.00243422135537,0.00645981160397,-0.0149410216406,0.017531499778,0.00751842224872,0.00721324712213
Lethal(3)malignant brain tumor-like protein 3,-0.0129712919507,-0.00205490092483,-0.00704097869537,0.0123863986391,0.0151677638886,-0.00433243102767,0.000821533392502,0.002911825439,-0.00625930723087,0.0235265734898,-0.0051207899723
Microtubule-associated protein tau,-0.00196074615141,0.000542847380913,-0.00619262839872,0.0031659272694,-0.00725406985138,0.00707321238654,0.00260777901499,0.0177569507605,0.00361780772936,0.00479128319712,-0.00390539278614
15-hydroxyprostaglandin dehydrogenase [NAD+],0.0168220529693,0.00304608994234,0.00106565691925,0.00133197972411,-0.0348623264512,0.0014744759785,-0.0197504634504,0.0134402059276,0.00143958665691,0.00796012528405,0.00782197631027
