,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.0122698608816,-0.0041735373524,0.00521346973916,0.0191044475109,-0.0107119774017,0.00410911355415,-0.0146577406822,0.00809796652579,-0.00919624136752,0.010211221206,-0.00211172827146
Leucine-rich repeat serine/threonine-protein kinase 2,0.0273079352293,-0.0175717694026,0.0200916203544,-0.0307932232704,0.0347857925492,0.00833518813851,0.0218165891587,-0.0343960177519,0.00494238776395,-0.0170818474772,0.00860058255661
Tyrosyl-DNA phosphodiesterase 1,0.0476159272473,0.00991266297424,0.0215091356386,-0.0479002749222,0.0247619086487,-0.00634232999998,0.0590070093965,-0.0289307355302,-0.00669447525398,-0.0192450763257,0.00445835986063
Transitional endoplasmic reticulum ATPase,-0.0027465491038,0.0119707658123,0.0131159771316,0.00710071835998,-0.014857532721,0.0034882821561,0.0132530471781,-0.00819149487427,-0.00531056802754,0.00804502960782,-0.00416881443798
Glucokinase regulatory protein,-0.0248823284947,0.0191559406186,0.00262330044962,0.0178962060284,-0.0227576490278,-0.0178601462628,-0.0136891724444,0.0260091908371,-0.0114227087002,0.00597023582032,-0.0101317332468
Pyruvate kinase isozymes M1/M2,-0.00967719794073,0.0397506313053,-0.0216950250078,-0.0112957810397,-0.00386317150592,0.00972340428327,0.0158222573692,-0.0115038437819,-0.0411825740514,0.0271772837403,0.008481920524
Transient receptor potential cation channel subfamily M member 8,-0.000988707246425,0.0274838080038,-0.0170036288671,-0.000357918858771,0.00946171652407,-0.0134559593822,-0.0139821235432,-0.00375240916217,0.00230241204069,-0.00708062926908,-0.00409592666343
G-protein coupled receptor 55,0.0129274555104,-0.0114231117812,-0.0153770861404,0.0288516651559,0.0195587053444,-0.0215934813765,0.0122007020257,-0.00964243820951,0.0089035614475,-0.0128857350154,-0.00426435251342
Endoplasmin,-0.0165417752914,-0.0292299683447,-0.0136133180281,0.022169912683,-0.0282930948819,0.0277620865471,-0.0189480481034,0.035949357849,0.0112465771391,0.00922618131405,-0.000588056807173
Serine/threonine-protein kinase/endoribonuclease IRE1,0.0140707301769,-0.0332011028403,0.00850894580885,0.000520830648125,0.00343761021558,-0.0206235951386,-0.0178572546895,0.0118706342928,0.0117951976942,-0.0336877156103,-0.0278503621366
Bromodomain-containing protein 4,0.012976354292,-0.00507230373156,0.00958371381317,0.00548025493011,-0.00186006930163,0.0153155443285,-0.000952972647122,-0.0202846289962,0.0143259249055,0.00245801714499,0.00609056323889
NADPH oxidase 4,-0.00765528897453,0.0245042579998,-0.00421230341816,-0.00946347173725,-0.013247986806,-0.00314348628202,-0.00119798552283,-0.00533090000776,-0.00566393366752,0.0108122625031,-0.000516098509538
Ketohexokinase,-0.021761599894,0.0113641654593,0.0125694895256,0.0108244822867,-0.00531589200449,0.0282115158514,-0.00335960275658,-0.0028086385382,-0.0149888216121,0.0237795059228,0.000507408339273
Lethal(3)malignant brain tumor-like protein 1,-0.00734295529793,0.0446474283287,-0.033888190107,0.0204130083526,-0.00128410037119,-0.00519280983908,-0.00660204737486,-0.015627126351,-0.0339679155021,0.0182177561031,-0.00219528479524
Lethal(3)malignant brain tumor-like protein 3,0.0190052062118,-0.0126513867795,-0.00531710751353,-0.0234843203176,0.0287308385826,-0.0294684049674,0.00941549250243,0.000629216881406,-0.00485791144666,-0.0186623559899,-0.00298176111581
Microtubule-associated protein tau,0.0277434127062,-0.0374383907328,0.00520092528157,-0.00357901907579,0.0126923418972,0.00258053623609,0.0104403280055,0.0108020730698,0.0437566085791,-0.0176526573655,0.0267743260175
15-hydroxyprostaglandin dehydrogenase [NAD+],0.0195540267047,-0.0142654365477,-0.000567148693528,0.0285733039992,-0.00546477973551,0.000825559750105,0.00210429790215,0.00683375825652,0.0114150064286,-0.024974834191,-0.00920016947631
G-protein coupled receptor 35,0.00397099043895,-0.0278783826913,0.00991373155172,-0.0392401859157,0.00366143009029,-0.0156511076572,0.0156420207547,0.00341484827484,-0.0103625741943,0.000369450094103,0.00714993196383
Bromodomain-containing protein 2,-0.00525081603494,0.0162951404308,0.0116904535916,0.00415188704519,-0.00798158064791,0.0154600413842,0.000507858053676,-0.00797717526521,0.00374454973688,0.0217724714381,0.00669343585527
ATP-sensitive inward rectifier potassium channel 1,-0.012157096712,-0.0458739541287,0.0135337022636,-0.0242917508746,0.0207118002323,0.00242199373548,-0.0272056998513,-0.00318547542311,0.0152207798904,-0.0114004237612,0.00358649653934
Neuropeptides B/W receptor type 1,-0.0165990797249,0.00321302735533,0.0180905358341,-0.00434546553834,-0.00652213259186,0.00482550107565,-0.00600408717531,0.00857522306983,0.00311939871623,-0.0018689229373,-0.0180497802475
Menin,-0.0285121038181,0.0401228118802,-0.0179760031458,0.0309603937515,-0.0265328055287,-0.000617580399334,-0.0128314104758,0.005988298542,-0.0299701990707,0.0271782896369,-0.00346727977125
Nuclear receptor ROR-gamma,0.0147771655633,-0.0448326306686,0.00874340146019,0.00381314364011,0.0104663884733,-0.00812189809806,0.00799438241292,0.0120777748041,0.030166157512,-0.0368931066098,-0.0196938905856
Enteropeptidase,0.0338272307118,-0.0145198273975,0.00836531218008,-0.0430216927981,0.0259379936664,-0.0193273837716,0.0465106997318,-0.026372004475,0.00780764245334,-0.0155175680547,0.0237183656957
Endothelial PAS domain-containing protein 1,-0.030936808013,-0.0188724178925,-0.0154441562858,0.0604113713357,-0.0360825269562,0.0189591978353,-0.0669265586524,0.0257629685126,0.0140454132534,0.017933875205,-0.0133384738159
Nicotinamide phosphoribosyltransferase,0.0015642643255,0.0580071527656,-0.0181509200876,0.0145319088387,-0.00059505383866,0.0026157479657,-0.00721130052865,-0.0137900599585,-0.0156119378312,0.00461480947836,-0.014111813089
Replication protein A 70 kDa DNA-binding subunit,-0.0204947917077,0.00500374906048,-0.0146473183045,0.033553385446,-0.0282236554837,0.00636951559576,-0.0173252940806,0.0142990896222,-0.00459090352137,0.0190512447067,-0.00649541068559
DNA topoisomerase I,-0.00453160918541,-0.0153711980611,0.0132643166387,-0.00803416595186,0.00607986731108,0.0221061098201,-0.0372405008785,0.0194104252617,0.00562374299964,0.00607607521096,0.00815322860457
Farnesyl diphosphate synthase,-0.0062814800101,0.0339638435506,0.0147935473079,-0.0163681490717,0.0040070168795,-0.00636436399815,0.0290841195366,-0.00530984110127,-0.0123930647105,-0.0051048035511,-0.00845039851888
Glucagon-like peptide 1 receptor,-0.00664580201444,0.00299590967505,-0.029015787473,-0.0147426089227,0.00407117434748,-0.0115384966675,0.00779616325505,0.00155496753334,-0.0127485932498,0.0264030175222,0.0232374412389
Endothelin receptor ET-B,0.0188539947638,0.0136702859243,0.00244930585575,-0.0164460960077,0.0180218247872,0.00262161180931,0.030421300725,-0.027055321438,-0.00759884246681,-0.0135925839325,0.0184451667612
Steroid 5-alpha-reductase 1,-0.00395516128339,0.007922792799,-0.00610827097314,0.00319841251876,-0.0151118816211,0.0220774992878,-0.0289735157013,0.00932915478357,0.00518268854242,0.0190465316402,0.0073432771788
Vasopressin V2 receptor,0.00492166534518,0.00677466678898,0.00456165704557,-0.00228768939253,0.00217929563595,0.014046004846,0.0140294939621,-0.0253180208693,-0.0179881715516,0.0059657117591,-0.00413847196767
Somatostatin receptor 5,0.0198164707937,-0.0176864524674,0.00810049602784,-0.0108608816673,0.0237466353156,-0.0259055445668,0.028674619393,0.0085014295609,0.0123145324307,-0.0304180977781,0.00081943384935
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",0.00281168034852,-0.0117581085291,-0.00284624313291,0.0192316313188,-0.00364997359628,-0.0210069289763,0.00287081584202,0.00541800735654,0.00945037716545,0.00605816472335,0.00505360984797
