,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,0.00836644333336,0.00829244357221,-0.00025350782608,0.0108727082192,-0.0086575320248,0.00595997156427,0.000920295467862,0.00449915860272,0.00252773816734,-0.0058688623092,0.00765757848422
Leucine-rich repeat serine/threonine-protein kinase 2,0.00700038516336,-0.00280463977089,-0.000211654307195,-0.0142104168456,-0.0337812416606,-0.00176031793479,0.0165409100854,0.0237659246641,0.0134689791414,-0.000469967019211,0.0159231948667
Tyrosyl-DNA phosphodiesterase 1,-0.00258229124145,-0.0042697190758,-0.00704906325297,-0.00696117326603,0.0019026104753,-0.00295674727218,0.00296182632045,-0.00105284973456,0.00483373982832,0.00257284745656,-0.000132190864715
Transitional endoplasmic reticulum ATPase,-0.00450365836575,0.0084961448674,0.008544539398,0.0141941285556,0.00459628935883,-0.00457305792101,-0.00623884429176,-0.00369102445892,-0.0030777135174,-0.00268992344541,-0.00158537730686
Glucokinase regulatory protein,-0.000365724820436,0.00430935179019,-0.0034542515461,0.0160424767467,0.00362705360538,-0.00126163409324,0.00425640824637,-0.00386518587063,-0.00518916161722,-0.00101236144392,0.000133310358756
Pyruvate kinase isozymes M1/M2,-0.00842475719852,-1.70695870462e-06,0.00161779309844,-0.000692473184291,0.00849817410604,-0.00257998738164,-0.00833767790346,-0.000627584963137,0.00346279041008,-0.0101120795952,-0.011760407944
Transient receptor potential cation channel subfamily M member 8,0.0149418749024,0.00232741232402,-0.0105028696644,-0.00383349072174,-0.00472147483972,-0.00190000549372,0.000654530251942,0.00109828455324,0.00287744176351,-0.00277329546084,-0.00817534496268
G-protein coupled receptor 55,0.0170877626256,-0.00888361648985,-0.00630479527226,-0.0161083657513,0.00977854148466,-0.00111853981256,0.00419343203217,-0.00716357622716,-0.0086222083504,0.00740287811148,-0.00425682635161
Endoplasmin,0.00655216070206,-0.00057461674856,-0.000680353764186,-0.0156169205513,-0.0110486669712,0.00722349706151,-0.00522647531315,0.00746559158712,-0.00196905878332,0.00249777739644,-0.00601814124593
Serine/threonine-protein kinase/endoribonuclease IRE1,-0.00149405310442,-0.0078592416711,-0.00215540838396,0.0111396946032,-0.00292122260254,-0.00262645695061,0.00724648777446,0.00260966545111,-0.000489806757511,0.00717861725269,0.00167481725156
Bromodomain-containing protein 4,-0.00371761256716,0.0106627143855,0.00179373790826,0.021842395393,-0.00289820802258,0.00813703213061,-0.00185125124692,0.00247483916963,0.00487641326386,-0.00341555094245,-0.00128097180658
NADPH oxidase 4,-0.00923208415289,0.00898587753353,0.00161791091547,0.00191405465701,-0.00637747537954,0.00259859879511,-0.00316089607067,-0.000693098311892,0.00969142800265,-0.00447921720279,0.00318671696971
Ketohexokinase,-0.0226855397621,-0.0131885685657,0.0113795179894,0.00423624412446,0.00398174441611,-0.00392621886437,-0.00359782974955,0.00744505654456,0.00333211934823,0.000182978574654,-0.000181813122169
Lethal(3)malignant brain tumor-like protein 1,-0.00431573334097,-0.0262779690249,0.000884520486145,-0.0201539630554,0.0054014456483,-0.0089840109444,0.00687737762187,0.0163803233452,-0.005717939035,-0.00115224364473,0.00895445950405
Lethal(3)malignant brain tumor-like protein 3,0.00193024482564,0.000353973771475,0.00260067001083,0.000443440387675,0.0135116944881,0.00437978838628,-0.00227457551695,-0.00583312672583,-0.00592011833737,-0.00316931545741,0.000111437785274
Microtubule-associated protein tau,0.00256897761718,-0.0067609192214,-0.00127143267938,0.00990411260206,-0.0104904281069,0.00416178987903,0.0118576199296,0.00215062450491,0.00329460376133,0.0136215019448,0.0152789584937
15-hydroxyprostaglandin dehydrogenase [NAD+],0.00282987718131,0.00814196752899,-0.00266031171282,-0.00111104706128,0.0092857837519,0.00417933881734,-0.00539388547104,-0.0212973766619,0.0087612550904,0.00225413990928,0.00343313925039
G-protein coupled receptor 35,-0.00655787191176,0.00251326962851,0.00200624705036,0.00331524594727,-0.00284155017533,0.000833345062908,0.00773460351741,0.0164553500121,0.00746631740102,-0.00755284015917,0.0127306859916
Bromodomain-containing protein 2,0.00255339093089,0.0054846491427,-0.00674048631601,-0.00674016520343,-0.00274127858071,0.00551828383035,-0.013202425849,0.00312317458116,0.00171572695351,-0.0061128484291,-0.0191097884498
ATP-sensitive inward rectifier potassium channel 1,2.54079799377e-05,-0.000974946299971,0.00221679653942,0.00139181372572,-0.00703128961095,-0.00309930767704,0.000321068872552,0.0110074467675,0.00547912214758,-0.00387479856213,-0.0031954834358
Neuropeptides B/W receptor type 1,-0.00913521012346,0.00315572137138,-0.0019483141844,-0.000843622655946,-0.00265032996815,-0.000543903182659,0.0082366168792,-0.00891792521518,-0.0123984927592,0.00449684025048,0.00745489852416
Menin,0.0050877041915,-0.0064290053279,0.0124610002645,0.00142096533326,-0.00621066874757,-0.00568057052053,0.00320178369041,0.0115572981816,-0.0125629541271,-0.00720075587484,0.000452017921265
Nuclear receptor ROR-gamma,0.00831314761764,-0.0132613673477,-0.0139445758201,-0.0348706611493,-0.00125586587577,-0.00240230136163,-0.00324560034195,0.0159335765753,0.00166451619923,0.00556651685404,-0.00119937389923
Enteropeptidase,-0.01303705798,0.00448534781496,-0.000146714812722,0.00398346600277,0.00165828332122,-0.00430722592399,-0.0154952206176,-0.00866707127509,-0.00474932740309,0.00929320200969,-0.0166910182591
Endothelial PAS domain-containing protein 1,0.0025953398883,-0.000277347159171,0.00681362472073,0.00690322779764,0.0104890851523,-0.0121607907952,0.0017748735998,0.00177606108284,-0.000448964419089,-0.00346841908254,-0.0030103503958
Nicotinamide phosphoribosyltransferase,-0.0200386333556,0.011518229628,-0.00784807908587,0.0189764289878,0.00678984777702,0.0179709090262,-0.000438393260815,-0.0102907500358,0.00709447699979,-0.0111269071668,-0.00447925091566
Replication protein A 70 kDa DNA-binding subunit,-0.0227936365558,0.00858652522588,-0.00275533669285,0.0201185677755,0.00619992647184,0.00292753890757,-0.00384450406021,-0.00789099271029,0.00415510867477,-0.0043288894315,-0.00823521383759
DNA topoisomerase I,0.0128100291015,0.00647894843879,-0.00295701975744,-0.00558868964942,-0.00551287397042,0.00360050574355,0.00279898421495,-0.00605687011398,0.00601774636623,0.00188938302438,0.0105688173793
Farnesyl diphosphate synthase,0.00807393337176,-0.00318430908239,-0.0109495223838,-5.23839542588e-05,-0.0061077973005,0.00321766589812,0.0119003195956,0.0116271020559,0.00363669247691,0.00115465916307,0.0176328847548
Glucagon-like peptide 1 receptor,0.0154661525289,-0.00154505276919,0.00483491119097,0.00844129440731,0.00218072791532,-0.00570321209221,0.00633746020519,-0.00337762579942,-0.00567708174708,0.00561203673681,0.00460339488536
Endothelin receptor ET-B,0.00624310364854,-0.00629853338675,0.00835989676732,0.00515603195311,0.0160054436738,0.00295861119507,0.0107714237289,-0.00630690586069,-0.0113292922612,0.00396990823046,0.0121788528819
