,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.00993923616113,-0.00395822201895,-0.0112962499911,0.0203245672479,-0.00138916357773,-0.021042723207,-0.00858784058666,-0.0055247029407,0.0128308990831,-0.0123082833437,0.00807615849747
Leucine-rich repeat serine/threonine-protein kinase 2,0.0121837786143,-0.00938607735051,0.00718168896615,-0.00237807312005,-0.00462247934888,-0.00175694911842,0.00285288977698,0.0093199191712,-0.00878083398735,-0.00038181534384,-0.0112173355937
Tyrosyl-DNA phosphodiesterase 1,0.00995811294905,-0.0173263002384,0.0162101862589,0.00264291639806,0.011914885883,0.000237955607543,0.00194909327228,-0.00991378085844,-0.0127437434873,-0.00626508794569,-0.0154010104612
Transitional endoplasmic reticulum ATPase,0.00521537347026,0.00223689448033,0.0228590727126,0.00119678923127,0.00913555533213,0.0202489400599,0.00116036543587,-0.018672224111,-0.00870619453203,0.000157595163379,0.00303045343736
Glucokinase regulatory protein,-0.00645494689297,0.0175846057002,-0.0318294137605,0.00719918276775,0.0145136990292,0.0212812473003,-0.0191044157212,-0.00246207726688,-0.012993543056,0.00750210483667,-0.00452785373766
Pyruvate kinase isozymes M1/M2,-0.00422424083277,0.0121094616928,-0.0297891494948,-0.0146956001759,0.0117844418643,-0.00871612246162,0.0105896174658,-0.00135759418504,0.0100084693234,-0.00543475965367,0.001184502423
Transient receptor potential cation channel subfamily M member 8,-0.0121692992881,0.00382918414974,-0.0164651038815,0.00314527836774,0.00610839374174,0.00845486279145,-0.00839911480886,-0.00914733960545,0.0074482424836,0.000591964950126,0.0056649324522
G-protein coupled receptor 55,0.00732411651339,-0.0068019619339,-0.00418738732629,-0.000352394500778,-0.0246420007719,-0.0313608909332,0.00809074790533,0.0146233692955,0.0150813216033,-0.00703718585095,-0.0039710522034
Endoplasmin,-0.00615754383112,-0.005404767104,0.00922709534338,0.00475064388775,0.0025583018878,-0.00251573974828,0.000226069079297,-0.00200292464126,-0.00216698510118,-0.000408550544093,0.00902126908583
Serine/threonine-protein kinase/endoribonuclease IRE1,-0.000105923298613,-0.00203480622323,-0.000437293896045,0.00787616531069,-0.00870619210496,-0.00825247041039,-0.00719567938336,0.0130678148374,-0.0035070708087,-0.00799759843174,-0.00430698385946
Bromodomain-containing protein 4,-0.00258492383044,-0.00499489382259,0.022234083896,0.00661768939913,-0.00393597612343,0.0126472422703,-0.00435607299619,-0.0173992887898,-0.000467836330822,0.0137417653165,0.00781244100413
NADPH oxidase 4,0.00923612621203,-0.00285834782411,0.00150751199041,-0.00718882491738,-0.00994081565002,0.000165481479813,0.0036555402094,0.00429046661637,-0.0036751657274,0.00844326320105,0.0108911024957
Ketohexokinase,0.0074451963325,0.00154781013887,0.0185861136436,-0.00706061988835,0.00247661271664,0.0215812038772,0.00115396400415,-0.0242724691835,-0.00594153244928,0.00452870193005,-0.00670661006553
