,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.0109463929407,0.000451447801966,-0.00613376339709,0.00265821887938,-0.00941931313442,0.0157013654038,-0.0128650397108,-0.000664992876488,0.00335124105259,0.00369839398011,-0.00902672679736
Leucine-rich repeat serine/threonine-protein kinase 2,0.00303977564692,-0.0107731986647,-0.016333217248,-0.00397538125962,0.00214710313172,-0.0102829727145,0.00506932396202,0.00875968258636,0.00917252325891,-0.000195830442486,-0.000629253196009
Tyrosyl-DNA phosphodiesterase 1,-0.00544440614542,0.0131912041857,-0.0018025572255,0.0105217083361,-0.0038746609409,0.00060200656493,0.00216744578794,-0.000708689939777,0.000433028996606,0.00509690362683,0.0146673353901
Transitional endoplasmic reticulum ATPase,-0.00216697848619,0.00749744389009,0.0188492611007,0.0175369175338,0.00503994764004,-0.00303793520086,-0.00460808054857,-0.0295352216688,-0.00250960212136,0.00364236749,0.0113900063588
Glucokinase regulatory protein,-0.0199379698607,0.00636261113051,0.0028726595041,-0.00255925283698,0.000726845862642,0.0134121109586,-0.00247807705442,-0.0183467710583,0.0146749656482,0.000229905941836,-0.0082962423382
Pyruvate kinase isozymes M1/M2,-0.0354962006753,0.00652383270024,0.00163684455949,0.0258263150932,0.0188136336347,0.0124776861429,0.0123715850234,-0.0260092035061,-0.000573174658033,0.000112020341184,0.00499877118309
Transient receptor potential cation channel subfamily M member 8,-0.0063508865172,0.000329329818899,-0.010365824829,0.00168452875955,-0.00631254362156,-0.00249723523524,0.00516829954037,-0.000855328576987,0.00737166330804,0.00512122491737,-0.00507339781126
G-protein coupled receptor 55,0.00940514126385,0.000780368160995,0.0165490975544,0.00139006798978,0.00633272753163,-0.00977371482374,0.000324175613229,-0.000916824381905,-0.0122455974408,-0.00479900515576,-0.000368119883361
Endoplasmin,0.0273908967567,-0.00352832384759,-0.0190064322997,-0.0213814242494,-0.0188797038531,-0.0214811300873,-0.00941836764241,0.00858866326738,0.0154772010683,0.00653823384729,0.00258908895851
Serine/threonine-protein kinase/endoribonuclease IRE1,0.017938476956,-0.00150445038076,-0.00371624514926,-0.00189937603725,0.00634664073254,0.00780214704559,-0.0236091235188,0.0114011424445,-0.0111886691314,0.0119996245725,0.011609601101
