,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.00133585540933,0.0361549627111,-0.00089593591599,-0.0180102088391,-0.000422785444745,0.00747167861899,-0.00866092422576,0.0198116215993,0.0142883556062,0.00174027883011,0.00970315187196
Leucine-rich repeat serine/threonine-protein kinase 2,-0.0112786984278,0.0273813112448,-0.00249943025502,0.00180493928743,0.01126011506,0.00210936236803,0.00502838117905,0.025992589533,-0.0193350033336,-0.020373888838,0.0079541094166
Tyrosyl-DNA phosphodiesterase 1,0.00152362021676,0.0225390613078,-0.0140098181753,-0.0135866094386,0.00318960756642,0.0108726164973,-0.000682016228629,0.017553734705,-0.0111516973344,-0.0185416813468,0.00864841748385
Transitional endoplasmic reticulum ATPase,-0.00351527835365,-0.0166374357884,0.0155891176411,0.00398002007922,-0.0248575881821,-0.00450392158488,-0.00579624546583,0.0239131000922,0.00870839496195,-0.0144945716122,0.0170097216395
Glucokinase regulatory protein,0.00784386752562,-0.0200483911592,0.0173348563315,-0.00170946399493,-0.0188892992354,-0.0406337521236,0.0360385288381,0.0144715381961,-0.0227507799365,0.0153539417113,-0.0115249729042
Pyruvate kinase isozymes M1/M2,-0.0179107901702,0.0220437998592,-0.00576536902934,-0.00600102286977,0.0193229807366,0.0321530468737,-0.0221708834385,0.0102568829639,-0.0154296804962,-0.00629197659039,0.0056759048962
Transient receptor potential cation channel subfamily M member 8,0.00764616889533,0.00805051600008,0.00191250954227,-0.0025504772388,-0.033021946147,-0.00660576235248,-0.0018432185005,0.0176056968285,0.0338789689215,-0.01361803539,0.0221764678835
G-protein coupled receptor 55,0.00033336801594,0.00682809476196,-0.00471303492804,0.00596710667765,0.0149927500864,0.0160321319568,-0.0105083456748,-0.0246576608929,0.00197826888259,-0.0133174899967,-0.00528751517657
Endoplasmin,0.0021696135159,-0.0108310795798,0.00455024586898,0.00660909563311,0.0151599942526,-0.0031244187227,-0.00814097726743,-0.00949857898316,0.00149795377453,0.0102217371832,0.00148488213483
Serine/threonine-protein kinase/endoribonuclease IRE1,0.0030466028801,0.0348570919599,-0.017258444996,0.0191178348787,0.0200459290081,0.0279321188221,-0.0159754898449,-0.0253681740876,0.0188326727353,-0.0387529341653,-0.00479266082555
