,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,64.0,478.0,939.0,667.0,986.0,880.0,870.0,25.0,102.0,162.0,192.0
Leucine-rich repeat serine/threonine-protein kinase 2,663.0,429.0,780.0,978.0,972.0,3.0,603.0,82.0,7.0,63.0,23.0
Tyrosyl-DNA phosphodiesterase 1,45.0,408.0,36.0,298.0,65.0,95.0,894.0,877.0,738.0,57.0,16.0
Transitional endoplasmic reticulum ATPase,410.0,338.0,207.0,264.0,261.0,873.0,864.0,773.0,1000.0,106.0,846.0
Glucokinase regulatory protein,53.0,115.0,754.0,132.0,535.0,997.0,686.0,167.0,474.0,905.0,825.0
Pyruvate kinase isozymes M1/M2,921.0,389.0,939.0,878.0,133.0,32.0,113.0,922.0,20.0,278.0,764.0
Transient receptor potential cation channel subfamily M member 8,907.0,607.0,476.0,359.0,25.0,432.0,741.0,290.0,153.0,704.0,619.0
G-protein coupled receptor 55,995.0,266.0,27.0,151.0,143.0,396.0,551.0,253.0,864.0,742.0,879.0
Endoplasmin,127.0,864.0,76.0,817.0,232.0,906.0,97.0,942.0,906.0,464.0,755.0
Serine/threonine-protein kinase/endoribonuclease IRE1,885.0,125.0,665.0,778.0,444.0,70.0,738.0,144.0,3.0,993.0,699.0
Bromodomain-containing protein 4,0.0,620.0,2.0,885.0,270.0,230.0,202.0,984.0,664.0,316.0,22.0
NADPH oxidase 4,807.0,512.0,987.0,497.0,997.0,84.0,322.0,101.0,17.0,675.0,153.0
Ketohexokinase,200.0,846.0,797.0,250.0,251.0,996.0,301.0,462.0,963.0,647.0,811.0
Lethal(3)malignant brain tumor-like protein 1,214.0,271.0,326.0,130.0,882.0,966.0,779.0,748.0,1000.0,840.0,968.0
Lethal(3)malignant brain tumor-like protein 3,454.0,544.0,769.0,959.0,903.0,66.0,735.0,36.0,85.0,575.0,632.0
Microtubule-associated protein tau,856.0,136.0,886.0,108.0,633.0,627.0,547.0,243.0,813.0,403.0,697.0
