,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,188.0,301.0,268.0,455.0,395.0,423.0,301.0,855.0,412.0,209.0,870.0
Leucine-rich repeat serine/threonine-protein kinase 2,974.0,380.0,2.0,640.0,1000.0,76.0,618.0,7.0,853.0,13.0,547.0
Tyrosyl-DNA phosphodiesterase 1,522.0,760.0,670.0,821.0,461.0,800.0,757.0,140.0,533.0,113.0,603.0
Transitional endoplasmic reticulum ATPase,121.0,975.0,887.0,772.0,22.0,881.0,692.0,443.0,748.0,990.0,638.0
Glucokinase regulatory protein,981.0,286.0,4.0,311.0,857.0,313.0,924.0,321.0,534.0,356.0,795.0
Pyruvate kinase isozymes M1/M2,207.0,775.0,203.0,554.0,615.0,339.0,156.0,703.0,337.0,642.0,196.0
Transient receptor potential cation channel subfamily M member 8,110.0,991.0,935.0,471.0,22.0,962.0,85.0,870.0,365.0,852.0,126.0
G-protein coupled receptor 55,720.0,22.0,446.0,308.0,708.0,102.0,669.0,55.0,629.0,179.0,594.0
Endoplasmin,421.0,0.0,11.0,306.0,996.0,37.0,372.0,305.0,465.0,13.0,697.0
Serine/threonine-protein kinase/endoribonuclease IRE1,729.0,836.0,797.0,612.0,92.0,222.0,292.0,759.0,393.0,710.0,60.0
Bromodomain-containing protein 4,867.0,386.0,229.0,85.0,982.0,305.0,887.0,40.0,660.0,289.0,901.0
NADPH oxidase 4,172.0,866.0,918.0,293.0,49.0,937.0,263.0,794.0,316.0,821.0,288.0
Ketohexokinase,57.0,803.0,634.0,728.0,22.0,483.0,431.0,984.0,235.0,991.0,479.0
Lethal(3)malignant brain tumor-like protein 1,105.0,993.0,632.0,994.0,18.0,835.0,199.0,906.0,439.0,772.0,548.0
Lethal(3)malignant brain tumor-like protein 3,669.0,148.0,946.0,687.0,914.0,186.0,659.0,67.0,702.0,356.0,547.0
Microtubule-associated protein tau,644.0,186.0,29.0,630.0,837.0,836.0,577.0,153.0,872.0,414.0,687.0
15-hydroxyprostaglandin dehydrogenase [NAD+],836.0,967.0,383.0,212.0,525.0,573.0,631.0,373.0,423.0,269.0,243.0
G-protein coupled receptor 35,560.0,672.0,39.0,945.0,866.0,675.0,560.0,809.0,686.0,294.0,897.0
Bromodomain-containing protein 2,858.0,23.0,975.0,130.0,624.0,201.0,362.0,172.0,947.0,191.0,55.0
ATP-sensitive inward rectifier potassium channel 1,596.0,994.0,501.0,722.0,740.0,427.0,711.0,85.0,57.0,203.0,518.0
Neuropeptides B/W receptor type 1,638.0,72.0,895.0,102.0,84.0,491.0,573.0,828.0,133.0,763.0,820.0
Menin,868.0,158.0,70.0,82.0,956.0,153.0,531.0,773.0,39.0,149.0,259.0
Nuclear receptor ROR-gamma,7.0,137.0,980.0,962.0,67.0,736.0,257.0,297.0,827.0,526.0,967.0
Enteropeptidase,449.0,978.0,178.0,607.0,859.0,144.0,295.0,15.0,494.0,887.0,76.0
Endothelial PAS domain-containing protein 1,518.0,326.0,75.0,887.0,991.0,398.0,524.0,63.0,540.0,407.0,417.0
Nicotinamide phosphoribosyltransferase,765.0,2.0,737.0,21.0,98.0,572.0,337.0,919.0,945.0,413.0,702.0
Replication protein A 70 kDa DNA-binding subunit,730.0,327.0,259.0,79.0,452.0,873.0,723.0,880.0,519.0,923.0,675.0
DNA topoisomerase I,51.0,920.0,940.0,764.0,62.0,605.0,109.0,696.0,357.0,556.0,131.0
Farnesyl diphosphate synthase,659.0,785.0,986.0,172.0,32.0,734.0,614.0,412.0,684.0,615.0,173.0
Glucagon-like peptide 1 receptor,544.0,503.0,649.0,272.0,416.0,751.0,646.0,687.0,297.0,420.0,152.0
Endothelin receptor ET-B,744.0,941.0,219.0,61.0,65.0,532.0,259.0,981.0,496.0,969.0,314.0
Steroid 5-alpha-reductase 1,288.0,282.0,868.0,164.0,5.0,907.0,599.0,964.0,422.0,783.0,325.0
Vasopressin V2 receptor,162.0,230.0,70.0,925.0,724.0,274.0,332.0,78.0,666.0,384.0,806.0
Somatostatin receptor 5,618.0,274.0,929.0,190.0,100.0,586.0,655.0,996.0,320.0,48.0,495.0
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",506.0,744.0,600.0,575.0,598.0,804.0,189.0,330.0,212.0,795.0,406.0
Transmembrane protease serine 6,890.0,21.0,820.0,96.0,998.0,7.0,395.0,35.0,291.0,26.0,216.0
Bromodomain-containing protein 3,621.0,909.0,582.0,726.0,383.0,540.0,671.0,626.0,333.0,477.0,762.0
Cysteinyl leukotriene receptor 1,394.0,546.0,46.0,948.0,804.0,394.0,889.0,33.0,796.0,32.0,876.0
Corticotropin releasing factor receptor 1,90.0,661.0,200.0,978.0,624.0,608.0,332.0,425.0,692.0,907.0,854.0
Plasminogen,622.0,228.0,925.0,35.0,61.0,757.0,563.0,900.0,640.0,748.0,409.0
Leukocyte adhesion glycoprotein LFA-1 alpha,808.0,67.0,99.0,654.0,760.0,550.0,710.0,300.0,821.0,457.0,690.0
Somatostatin receptor 2,298.0,911.0,802.0,709.0,76.0,587.0,14.0,967.0,416.0,969.0,61.0
DNA topoisomerase II alpha,492.0,998.0,230.0,771.0,104.0,870.0,880.0,450.0,309.0,915.0,747.0
Angiotensin-converting enzyme,507.0,262.0,463.0,150.0,662.0,298.0,479.0,216.0,326.0,778.0,323.0
Prostanoid EP1 receptor,929.0,419.0,254.0,370.0,991.0,190.0,791.0,119.0,324.0,34.0,613.0
Muscarinic acetylcholine receptor M4,121.0,101.0,804.0,924.0,818.0,213.0,251.0,590.0,492.0,345.0,562.0
Inosine-5'-monophosphate dehydrogenase 1,793.0,964.0,489.0,587.0,610.0,943.0,930.0,255.0,378.0,119.0,598.0
Receptor protein-tyrosine kinase erbB-2,355.0,696.0,22.0,404.0,297.0,825.0,397.0,470.0,721.0,927.0,625.0
TNF-alpha,707.0,18.0,496.0,8.0,302.0,521.0,617.0,969.0,184.0,143.0,916.0
Phosphodiesterase 5A,395.0,985.0,262.0,872.0,840.0,214.0,796.0,223.0,42.0,273.0,672.0
Histone deacetylase 3,588.0,581.0,887.0,220.0,474.0,252.0,211.0,168.0,742.0,196.0,199.0
Serotonin 2b (5-HT2b) receptor,4.0,794.0,774.0,996.0,7.0,937.0,372.0,607.0,929.0,997.0,738.0
Thromboxane-A synthase,874.0,94.0,471.0,19.0,508.0,712.0,770.0,392.0,671.0,451.0,741.0
Prostanoid EP4 receptor,538.0,231.0,956.0,475.0,6.0,788.0,211.0,947.0,619.0,791.0,119.0
Tyrosine-protein kinase FYN,670.0,600.0,758.0,103.0,366.0,91.0,106.0,864.0,333.0,370.0,64.0
Macrophage colony stimulating factor  receptor,388.0,919.0,562.0,888.0,159.0,689.0,501.0,167.0,954.0,965.0,132.0
