,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,996.0,789.0,46.0,14.0,476.0,433.0,978.0,97.0,433.0,814.0,520.0
Leucine-rich repeat serine/threonine-protein kinase 2,975.0,310.0,0.0,311.0,347.0,863.0,360.0,205.0,605.0,956.0,857.0
Tyrosyl-DNA phosphodiesterase 1,595.0,617.0,158.0,392.0,7.0,348.0,580.0,991.0,627.0,289.0,403.0
Transitional endoplasmic reticulum ATPase,653.0,139.0,708.0,484.0,799.0,275.0,659.0,833.0,601.0,60.0,969.0
Glucokinase regulatory protein,1000.0,136.0,1.0,0.0,112.0,841.0,395.0,1000.0,65.0,268.0,313.0
Pyruvate kinase isozymes M1/M2,990.0,759.0,136.0,389.0,927.0,1000.0,3.0,1.0,66.0,355.0,808.0
Transient receptor potential cation channel subfamily M member 8,232.0,630.0,631.0,397.0,601.0,317.0,814.0,876.0,927.0,558.0,88.0
G-protein coupled receptor 55,1000.0,126.0,140.0,0.0,811.0,31.0,654.0,262.0,61.0,191.0,410.0
Endoplasmin,0.0,247.0,841.0,995.0,844.0,251.0,844.0,292.0,851.0,750.0,41.0
Serine/threonine-protein kinase/endoribonuclease IRE1,111.0,848.0,738.0,12.0,2.0,801.0,297.0,1000.0,308.0,241.0,1.0
Bromodomain-containing protein 4,953.0,961.0,992.0,470.0,11.0,90.0,300.0,949.0,795.0,936.0,790.0
NADPH oxidase 4,0.0,919.0,995.0,1000.0,86.0,116.0,978.0,964.0,864.0,945.0,963.0
Ketohexokinase,614.0,925.0,509.0,489.0,30.0,369.0,176.0,522.0,640.0,388.0,347.0
Lethal(3)malignant brain tumor-like protein 1,352.0,86.0,873.0,784.0,1000.0,146.0,767.0,0.0,834.0,865.0,312.0
Lethal(3)malignant brain tumor-like protein 3,76.0,429.0,553.0,721.0,990.0,732.0,405.0,48.0,191.0,317.0,297.0
Microtubule-associated protein tau,11.0,154.0,384.0,1000.0,223.0,516.0,811.0,701.0,895.0,443.0,988.0
15-hydroxyprostaglandin dehydrogenase [NAD+],997.0,988.0,11.0,0.0,0.0,977.0,807.0,1000.0,128.0,31.0,96.0
G-protein coupled receptor 35,130.0,748.0,167.0,976.0,822.0,180.0,968.0,275.0,902.0,453.0,437.0
Bromodomain-containing protein 2,716.0,231.0,439.0,575.0,128.0,254.0,988.0,847.0,746.0,947.0,326.0
ATP-sensitive inward rectifier potassium channel 1,971.0,601.0,25.0,10.0,771.0,851.0,417.0,513.0,167.0,632.0,153.0
Neuropeptides B/W receptor type 1,141.0,33.0,664.0,624.0,997.0,300.0,726.0,16.0,496.0,845.0,814.0
Menin,1000.0,249.0,735.0,2.0,1.0,336.0,109.0,942.0,308.0,11.0,209.0
Nuclear receptor ROR-gamma,767.0,261.0,900.0,587.0,1000.0,197.0,9.0,0.0,440.0,294.0,202.0
Enteropeptidase,84.0,956.0,462.0,941.0,0.0,953.0,343.0,999.0,711.0,706.0,995.0
Endothelial PAS domain-containing protein 1,44.0,308.0,820.0,834.0,913.0,200.0,758.0,124.0,584.0,770.0,978.0
