,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,221.0,361.0,354.0,430.0,997.0,522.0,916.0,47.0,993.0,969.0,137.0
Leucine-rich repeat serine/threonine-protein kinase 2,995.0,426.0,356.0,40.0,1000.0,788.0,453.0,16.0,39.0,630.0,868.0
Tyrosyl-DNA phosphodiesterase 1,983.0,18.0,434.0,58.0,939.0,282.0,479.0,43.0,338.0,762.0,288.0
Transitional endoplasmic reticulum ATPase,2.0,823.0,771.0,4.0,8.0,907.0,798.0,653.0,997.0,78.0,143.0
Glucokinase regulatory protein,988.0,998.0,871.0,876.0,30.0,16.0,0.0,768.0,543.0,902.0,780.0
Pyruvate kinase isozymes M1/M2,50.0,242.0,321.0,774.0,701.0,449.0,704.0,179.0,758.0,691.0,518.0
Transient receptor potential cation channel subfamily M member 8,946.0,940.0,862.0,649.0,58.0,35.0,101.0,766.0,795.0,904.0,486.0
G-protein coupled receptor 55,799.0,456.0,681.0,180.0,947.0,789.0,525.0,284.0,344.0,493.0,185.0
Endoplasmin,311.0,168.0,635.0,663.0,80.0,614.0,630.0,944.0,353.0,403.0,163.0
Serine/threonine-protein kinase/endoribonuclease IRE1,562.0,482.0,195.0,85.0,984.0,880.0,742.0,328.0,32.0,98.0,478.0
Bromodomain-containing protein 4,928.0,952.0,272.0,336.0,163.0,288.0,339.0,294.0,120.0,73.0,934.0
NADPH oxidase 4,335.0,385.0,828.0,987.0,13.0,371.0,194.0,936.0,422.0,594.0,200.0
Ketohexokinase,238.0,266.0,676.0,122.0,538.0,614.0,565.0,596.0,603.0,796.0,370.0
Lethal(3)malignant brain tumor-like protein 1,251.0,885.0,260.0,707.0,426.0,20.0,70.0,294.0,962.0,661.0,656.0
Lethal(3)malignant brain tumor-like protein 3,11.0,44.0,656.0,982.0,618.0,870.0,982.0,616.0,847.0,86.0,140.0
Microtubule-associated protein tau,1000.0,693.0,837.0,3.0,805.0,636.0,238.0,84.0,379.0,759.0,902.0
15-hydroxyprostaglandin dehydrogenase [NAD+],0.0,127.0,88.0,243.0,953.0,901.0,911.0,534.0,985.0,402.0,29.0
G-protein coupled receptor 35,999.0,625.0,850.0,3.0,81.0,103.0,207.0,674.0,25.0,495.0,617.0
Bromodomain-containing protein 2,936.0,649.0,522.0,156.0,880.0,373.0,343.0,68.0,17.0,769.0,767.0
ATP-sensitive inward rectifier potassium channel 1,207.0,641.0,911.0,973.0,0.0,784.0,134.0,986.0,563.0,33.0,451.0
