,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,590.0,372.0,579.0,7.0,977.0,105.0,660.0,80.0,965.0,17.0,821.0
Leucine-rich repeat serine/threonine-protein kinase 2,322.0,207.0,596.0,841.0,998.0,748.0,694.0,47.0,935.0,85.0,746.0
Tyrosyl-DNA phosphodiesterase 1,743.0,777.0,930.0,71.0,179.0,487.0,709.0,906.0,958.0,223.0,878.0
Transitional endoplasmic reticulum ATPase,790.0,531.0,26.0,342.0,943.0,415.0,488.0,333.0,786.0,158.0,607.0
Glucokinase regulatory protein,87.0,174.0,641.0,956.0,515.0,387.0,128.0,69.0,607.0,119.0,589.0
Pyruvate kinase isozymes M1/M2,37.0,530.0,805.0,846.0,521.0,488.0,888.0,102.0,828.0,309.0,229.0
Transient receptor potential cation channel subfamily M member 8,368.0,698.0,586.0,608.0,388.0,164.0,326.0,887.0,276.0,342.0,735.0
G-protein coupled receptor 55,221.0,842.0,0.0,762.0,720.0,743.0,862.0,972.0,853.0,74.0,747.0
Endoplasmin,573.0,921.0,969.0,331.0,76.0,766.0,199.0,919.0,51.0,627.0,878.0
Serine/threonine-protein kinase/endoribonuclease IRE1,981.0,369.0,191.0,353.0,26.0,128.0,846.0,611.0,343.0,739.0,220.0
Bromodomain-containing protein 4,932.0,256.0,284.0,34.0,716.0,814.0,871.0,357.0,710.0,889.0,413.0
NADPH oxidase 4,695.0,354.0,211.0,71.0,802.0,771.0,83.0,356.0,290.0,713.0,292.0
Ketohexokinase,2.0,866.0,0.0,845.0,939.0,977.0,798.0,297.0,992.0,29.0,602.0
Lethal(3)malignant brain tumor-like protein 1,527.0,731.0,88.0,871.0,152.0,799.0,857.0,902.0,121.0,105.0,752.0
Lethal(3)malignant brain tumor-like protein 3,239.0,24.0,1000.0,265.0,113.0,139.0,96.0,63.0,524.0,922.0,48.0
Microtubule-associated protein tau,280.0,60.0,926.0,320.0,891.0,536.0,535.0,34.0,861.0,772.0,579.0
15-hydroxyprostaglandin dehydrogenase [NAD+],308.0,34.0,494.0,930.0,561.0,443.0,65.0,252.0,619.0,964.0,66.0
G-protein coupled receptor 35,369.0,207.0,613.0,571.0,295.0,504.0,519.0,810.0,654.0,861.0,180.0
Bromodomain-containing protein 2,585.0,943.0,383.0,86.0,810.0,787.0,484.0,97.0,773.0,34.0,932.0
ATP-sensitive inward rectifier potassium channel 1,42.0,53.0,337.0,995.0,281.0,995.0,674.0,5.0,130.0,253.0,281.0
Neuropeptides B/W receptor type 1,49.0,660.0,135.0,992.0,853.0,567.0,754.0,738.0,132.0,14.0,965.0
Menin,870.0,916.0,402.0,371.0,417.0,112.0,422.0,797.0,91.0,161.0,526.0
Nuclear receptor ROR-gamma,948.0,198.0,401.0,737.0,376.0,341.0,232.0,918.0,82.0,480.0,978.0
Enteropeptidase,825.0,589.0,686.0,131.0,451.0,558.0,109.0,988.0,237.0,467.0,966.0
Endothelial PAS domain-containing protein 1,6.0,684.0,542.0,787.0,630.0,477.0,790.0,264.0,826.0,838.0,70.0
Nicotinamide phosphoribosyltransferase,893.0,554.0,945.0,48.0,42.0,386.0,855.0,164.0,952.0,619.0,79.0
Replication protein A 70 kDa DNA-binding subunit,11.0,469.0,0.0,330.0,1000.0,932.0,870.0,110.0,999.0,437.0,818.0
DNA topoisomerase I,574.0,656.0,297.0,44.0,919.0,658.0,106.0,43.0,935.0,249.0,139.0
Farnesyl diphosphate synthase,980.0,979.0,86.0,147.0,204.0,394.0,946.0,999.0,329.0,325.0,776.0
Glucagon-like peptide 1 receptor,267.0,814.0,65.0,871.0,990.0,886.0,722.0,177.0,623.0,16.0,974.0
Endothelin receptor ET-B,889.0,512.0,744.0,0.0,897.0,189.0,400.0,267.0,997.0,763.0,437.0
