,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,134.0,140.0,610.0,79.0,915.0,207.0,502.0,301.0,437.0,860.0,151.0
Leucine-rich repeat serine/threonine-protein kinase 2,184.0,789.0,664.0,988.0,1000.0,701.0,9.0,1.0,34.0,625.0,13.0
Tyrosyl-DNA phosphodiesterase 1,730.0,810.0,925.0,921.0,419.0,767.0,348.0,640.0,222.0,392.0,542.0
Transitional endoplasmic reticulum ATPase,827.0,84.0,94.0,18.0,256.0,834.0,896.0,787.0,741.0,749.0,666.0
Glucokinase regulatory protein,506.0,215.0,668.0,10.0,262.0,557.0,204.0,682.0,763.0,537.0,435.0
Pyruvate kinase isozymes M1/M2,932.0,568.0,479.0,602.0,91.0,698.0,934.0,588.0,341.0,966.0,972.0
Transient receptor potential cation channel subfamily M member 8,5.0,279.0,933.0,689.0,750.0,553.0,377.0,338.0,237.0,610.0,887.0
G-protein coupled receptor 55,1.0,893.0,817.0,993.0,40.0,532.0,208.0,854.0,900.0,72.0,734.0
Endoplasmin,83.0,481.0,521.0,999.0,963.0,69.0,809.0,69.0,626.0,277.0,859.0
Serine/threonine-protein kinase/endoribonuclease IRE1,584.0,885.0,642.0,38.0,680.0,656.0,106.0,353.0,501.0,119.0,384.0
Bromodomain-containing protein 4,787.0,29.0,414.0,0.0,749.0,68.0,678.0,358.0,201.0,791.0,645.0
NADPH oxidase 4,933.0,56.0,365.0,346.0,849.0,300.0,662.0,518.0,49.0,771.0,260.0
Ketohexokinase,1000.0,988.0,34.0,218.0,266.0,785.0,748.0,104.0,282.0,492.0,545.0
Lethal(3)malignant brain tumor-like protein 1,762.0,1000.0,447.0,998.0,165.0,928.0,125.0,5.0,841.0,540.0,71.0
Lethal(3)malignant brain tumor-like protein 3,395.0,488.0,366.0,498.0,17.0,222.0,670.0,873.0,861.0,727.0,512.0
Microtubule-associated protein tau,416.0,903.0,686.0,92.0,978.0,311.0,36.0,455.0,385.0,38.0,18.0
15-hydroxyprostaglandin dehydrogenase [NAD+],333.0,103.0,728.0,593.0,52.0,271.0,863.0,1000.0,84.0,390.0,330.0
G-protein coupled receptor 35,877.0,471.0,502.0,415.0,734.0,583.0,215.0,24.0,224.0,901.0,69.0
Bromodomain-containing protein 2,265.0,130.0,825.0,841.0,644.0,106.0,978.0,206.0,294.0,801.0,996.0
ATP-sensitive inward rectifier potassium channel 1,555.0,624.0,380.0,479.0,906.0,769.0,534.0,41.0,192.0,780.0,753.0
Neuropeptides B/W receptor type 1,899.0,221.0,527.0,441.0,586.0,444.0,54.0,904.0,964.0,148.0,68.0
Menin,141.0,852.0,7.0,334.0,837.0,792.0,229.0,17.0,980.0,871.0,414.0
Nuclear receptor ROR-gamma,44.0,969.0,990.0,1000.0,513.0,612.0,616.0,5.0,310.0,104.0,510.0
Enteropeptidase,970.0,172.0,418.0,182.0,319.0,681.0,986.0,896.0,733.0,47.0,994.0
Endothelial PAS domain-containing protein 1,272.0,508.0,110.0,126.0,35.0,988.0,370.0,378.0,535.0,759.0,719.0
Nicotinamide phosphoribosyltransferase,1000.0,22.0,916.0,1.0,108.0,2.0,549.0,956.0,98.0,978.0,788.0
Replication protein A 70 kDa DNA-binding subunit,995.0,49.0,636.0,0.0,78.0,255.0,693.0,881.0,186.0,744.0,898.0
DNA topoisomerase I,32.0,162.0,785.0,895.0,863.0,343.0,375.0,911.0,213.0,448.0,47.0
Farnesyl diphosphate synthase,161.0,779.0,978.0,645.0,900.0,389.0,67.0,76.0,408.0,539.0,9.0
Glucagon-like peptide 1 receptor,20.0,708.0,321.0,132.0,497.0,917.0,216.0,840.0,920.0,268.0,333.0
Endothelin receptor ET-B,252.0,921.0,168.0,289.0,19.0,416.0,80.0,932.0,989.0,391.0,54.0
Steroid 5-alpha-reductase 1,873.0,614.0,50.0,23.0,978.0,786.0,338.0,4.0,753.0,567.0,632.0
Vasopressin V2 receptor,995.0,887.0,249.0,238.0,620.0,36.0,719.0,444.0,292.0,133.0,449.0
Somatostatin receptor 5,4.0,785.0,273.0,1000.0,972.0,954.0,914.0,16.0,409.0,978.0,976.0
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",5.0,805.0,118.0,899.0,645.0,955.0,801.0,34.0,745.0,710.0,576.0
Transmembrane protease serine 6,790.0,477.0,615.0,557.0,48.0,660.0,983.0,725.0,626.0,473.0,1000.0
Bromodomain-containing protein 3,21.0,75.0,804.0,604.0,997.0,381.0,76.0,472.0,87.0,204.0,7.0
Cysteinyl leukotriene receptor 1,985.0,392.0,708.0,330.0,474.0,397.0,711.0,424.0,592.0,586.0,998.0
