,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,862.0,671.0,898.0,14.0,535.0,996.0,823.0,691.0,66.0,916.0,150.0
Leucine-rich repeat serine/threonine-protein kinase 2,79.0,862.0,181.0,569.0,685.0,574.0,332.0,108.0,832.0,488.0,887.0
Tyrosyl-DNA phosphodiesterase 1,85.0,971.0,22.0,300.0,55.0,454.0,322.0,829.0,909.0,704.0,951.0
Transitional endoplasmic reticulum ATPase,286.0,436.0,4.0,501.0,149.0,11.0,470.0,986.0,879.0,535.0,394.0
Glucokinase regulatory protein,746.0,24.0,999.0,190.0,47.0,6.0,972.0,574.0,912.0,184.0,642.0
Pyruvate kinase isozymes M1/M2,647.0,47.0,1000.0,936.0,50.0,831.0,81.0,510.0,66.0,696.0,371.0
Transient receptor potential cation channel subfamily M member 8,918.0,259.0,973.0,318.0,180.0,105.0,835.0,859.0,145.0,421.0,190.0
G-protein coupled receptor 55,162.0,782.0,712.0,487.0,998.0,1000.0,136.0,36.0,32.0,801.0,697.0
Endoplasmin,851.0,822.0,168.0,316.0,455.0,677.0,539.0,625.0,675.0,583.0,178.0
Serine/threonine-protein kinase/endoribonuclease IRE1,539.0,652.0,585.0,217.0,884.0,882.0,845.0,82.0,718.0,861.0,768.0
Bromodomain-containing protein 4,628.0,758.0,3.0,185.0,697.0,47.0,700.0,982.0,537.0,41.0,152.0
NADPH oxidase 4,110.0,639.0,399.0,806.0,907.0,475.0,302.0,259.0,677.0,123.0,62.0
Ketohexokinase,160.0,381.0,14.0,756.0,327.0,5.0,391.0,995.0,750.0,238.0,768.0
Lethal(3)malignant brain tumor-like protein 1,508.0,698.0,896.0,74.0,30.0,874.0,598.0,46.0,838.0,798.0,884.0
Lethal(3)malignant brain tumor-like protein 3,948.0,668.0,432.0,17.0,476.0,977.0,795.0,785.0,515.0,954.0,39.0
Microtubule-associated protein tau,833.0,320.0,204.0,435.0,38.0,294.0,463.0,984.0,97.0,618.0,525.0
15-hydroxyprostaglandin dehydrogenase [NAD+],832.0,177.0,997.0,893.0,725.0,864.0,176.0,37.0,301.0,704.0,707.0
G-protein coupled receptor 35,85.0,34.0,999.0,996.0,458.0,752.0,196.0,191.0,146.0,689.0,671.0
Bromodomain-containing protein 2,424.0,651.0,189.0,954.0,528.0,39.0,435.0,836.0,250.0,213.0,878.0
ATP-sensitive inward rectifier potassium channel 1,121.0,741.0,92.0,699.0,741.0,487.0,554.0,268.0,286.0,325.0,959.0
Neuropeptides B/W receptor type 1,780.0,889.0,132.0,24.0,102.0,36.0,803.0,998.0,823.0,155.0,516.0
Menin,237.0,474.0,719.0,462.0,693.0,962.0,675.0,90.0,749.0,481.0,410.0
Nuclear receptor ROR-gamma,655.0,306.0,252.0,700.0,50.0,302.0,642.0,433.0,803.0,870.0,412.0
Enteropeptidase,65.0,419.0,563.0,798.0,601.0,746.0,483.0,871.0,204.0,105.0,60.0
