,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,59.0,491.0,770.0,812.0,980.0,25.0,604.0,111.0,952.0,454.0,628.0
Leucine-rich repeat serine/threonine-protein kinase 2,855.0,472.0,541.0,448.0,826.0,57.0,71.0,891.0,15.0,2.0,950.0
Tyrosyl-DNA phosphodiesterase 1,965.0,456.0,213.0,29.0,923.0,762.0,513.0,531.0,483.0,611.0,731.0
Transitional endoplasmic reticulum ATPase,939.0,787.0,955.0,5.0,714.0,72.0,453.0,0.0,194.0,33.0,502.0
Glucokinase regulatory protein,18.0,212.0,138.0,963.0,246.0,384.0,611.0,977.0,516.0,745.0,349.0
Pyruvate kinase isozymes M1/M2,990.0,52.0,72.0,22.0,404.0,878.0,367.0,916.0,681.0,771.0,10.0
Transient receptor potential cation channel subfamily M member 8,13.0,712.0,150.0,956.0,441.0,740.0,256.0,839.0,326.0,986.0,643.0
G-protein coupled receptor 55,632.0,376.0,278.0,656.0,121.0,43.0,191.0,889.0,154.0,995.0,26.0
Endoplasmin,155.0,468.0,243.0,657.0,941.0,874.0,214.0,70.0,990.0,877.0,932.0
Serine/threonine-protein kinase/endoribonuclease IRE1,826.0,125.0,583.0,559.0,297.0,411.0,627.0,965.0,7.0,77.0,227.0
Bromodomain-containing protein 4,781.0,5.0,888.0,200.0,266.0,698.0,626.0,475.0,207.0,243.0,812.0
NADPH oxidase 4,794.0,111.0,620.0,871.0,590.0,710.0,526.0,130.0,923.0,408.0,666.0
Ketohexokinase,472.0,650.0,775.0,659.0,198.0,8.0,226.0,946.0,17.0,986.0,8.0
Lethal(3)malignant brain tumor-like protein 1,0.0,988.0,823.0,564.0,885.0,742.0,740.0,143.0,490.0,841.0,766.0
Lethal(3)malignant brain tumor-like protein 3,1.0,1000.0,816.0,601.0,312.0,160.0,982.0,38.0,632.0,948.0,973.0
Microtubule-associated protein tau,933.0,234.0,30.0,39.0,963.0,208.0,379.0,990.0,297.0,654.0,75.0
15-hydroxyprostaglandin dehydrogenase [NAD+],20.0,327.0,24.0,959.0,266.0,992.0,477.0,605.0,995.0,801.0,942.0
