,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,886.0,482.0,738.0,420.0,838.0,75.0,908.0,534.0,380.0,392.0,830.0
Leucine-rich repeat serine/threonine-protein kinase 2,424.0,887.0,956.0,703.0,440.0,865.0,319.0,192.0,172.0,561.0,548.0
Tyrosyl-DNA phosphodiesterase 1,760.0,101.0,612.0,163.0,660.0,498.0,439.0,570.0,543.0,325.0,96.0
Transitional endoplasmic reticulum ATPase,601.0,210.0,25.0,21.0,263.0,636.0,689.0,997.0,597.0,318.0,107.0
Glucokinase regulatory protein,962.0,214.0,313.0,518.0,423.0,80.0,561.0,936.0,58.0,439.0,774.0
Pyruvate kinase isozymes M1/M2,999.0,182.0,403.0,5.0,30.0,93.0,97.0,990.0,497.0,467.0,279.0
Transient receptor potential cation channel subfamily M member 8,747.0,435.0,866.0,382.0,727.0,594.0,212.0,532.0,190.0,263.0,683.0
G-protein coupled receptor 55,128.0,447.0,26.0,457.0,230.0,851.0,458.0,541.0,913.0,687.0,502.0
Endoplasmin,4.0,700.0,981.0,990.0,981.0,993.0,870.0,175.0,65.0,252.0,408.0
Serine/threonine-protein kinase/endoribonuclease IRE1,17.0,595.0,672.0,575.0,224.0,175.0,996.0,106.0,903.0,92.0,85.0
Bromodomain-containing protein 4,671.0,828.0,52.0,940.0,972.0,472.0,148.0,6.0,597.0,870.0,980.0
NADPH oxidase 4,783.0,205.0,652.0,211.0,319.0,392.0,388.0,730.0,608.0,564.0,356.0
Ketohexokinase,606.0,595.0,945.0,53.0,226.0,824.0,535.0,899.0,38.0,186.0,285.0
Lethal(3)malignant brain tumor-like protein 1,263.0,87.0,359.0,336.0,141.0,842.0,373.0,815.0,774.0,487.0,61.0
Lethal(3)malignant brain tumor-like protein 3,682.0,776.0,286.0,945.0,156.0,17.0,501.0,60.0,794.0,494.0,371.0
Microtubule-associated protein tau,57.0,276.0,967.0,942.0,299.0,214.0,788.0,0.0,973.0,305.0,203.0
15-hydroxyprostaglandin dehydrogenase [NAD+],984.0,877.0,42.0,83.0,255.0,532.0,90.0,970.0,479.0,961.0,973.0
G-protein coupled receptor 35,3.0,832.0,922.0,979.0,693.0,681.0,697.0,6.0,932.0,561.0,398.0
Bromodomain-containing protein 2,255.0,488.0,744.0,790.0,751.0,44.0,828.0,428.0,703.0,32.0,761.0
ATP-sensitive inward rectifier potassium channel 1,968.0,678.0,360.0,70.0,292.0,354.0,966.0,902.0,145.0,175.0,469.0
Neuropeptides B/W receptor type 1,880.0,131.0,253.0,39.0,125.0,917.0,922.0,999.0,43.0,741.0,99.0
Menin,179.0,98.0,469.0,148.0,493.0,985.0,38.0,978.0,288.0,621.0,35.0
Nuclear receptor ROR-gamma,853.0,282.0,281.0,822.0,976.0,359.0,382.0,483.0,45.0,838.0,948.0
Enteropeptidase,969.0,668.0,165.0,60.0,750.0,741.0,134.0,748.0,383.0,634.0,830.0
Endothelial PAS domain-containing protein 1,827.0,359.0,930.0,547.0,149.0,189.0,443.0,295.0,144.0,404.0,161.0
Nicotinamide phosphoribosyltransferase,181.0,949.0,750.0,999.0,71.0,0.0,808.0,15.0,969.0,102.0,434.0
Replication protein A 70 kDa DNA-binding subunit,746.0,312.0,507.0,891.0,674.0,361.0,487.0,239.0,380.0,772.0,902.0
DNA topoisomerase I,128.0,936.0,118.0,81.0,605.0,882.0,803.0,958.0,485.0,578.0,794.0
Farnesyl diphosphate synthase,11.0,245.0,665.0,36.0,68.0,996.0,462.0,781.0,802.0,600.0,14.0
Glucagon-like peptide 1 receptor,479.0,615.0,924.0,414.0,807.0,44.0,426.0,317.0,467.0,201.0,924.0
Endothelin receptor ET-B,762.0,599.0,244.0,821.0,526.0,215.0,640.0,151.0,949.0,277.0,841.0
Steroid 5-alpha-reductase 1,943.0,195.0,8.0,65.0,858.0,728.0,65.0,719.0,467.0,742.0,586.0
Vasopressin V2 receptor,867.0,96.0,633.0,253.0,204.0,792.0,526.0,685.0,192.0,693.0,47.0
