,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,307.0,973.0,746.0,411.0,483.0,62.0,490.0,560.0,46.0,553.0,924.0
Leucine-rich repeat serine/threonine-protein kinase 2,53.0,615.0,206.0,876.0,418.0,917.0,532.0,670.0,128.0,343.0,461.0
Tyrosyl-DNA phosphodiesterase 1,970.0,58.0,603.0,407.0,129.0,669.0,337.0,978.0,237.0,339.0,164.0
Transitional endoplasmic reticulum ATPase,995.0,332.0,203.0,125.0,854.0,395.0,598.0,435.0,100.0,589.0,396.0
Glucokinase regulatory protein,563.0,459.0,783.0,815.0,720.0,185.0,349.0,25.0,782.0,73.0,271.0
Pyruvate kinase isozymes M1/M2,32.0,689.0,245.0,188.0,52.0,923.0,715.0,907.0,355.0,151.0,546.0
Transient receptor potential cation channel subfamily M member 8,736.0,11.0,979.0,998.0,5.0,101.0,964.0,226.0,987.0,302.0,797.0
G-protein coupled receptor 55,233.0,55.0,700.0,669.0,5.0,676.0,825.0,996.0,986.0,522.0,846.0
Endoplasmin,671.0,283.0,47.0,132.0,993.0,970.0,646.0,8.0,714.0,337.0,123.0
Serine/threonine-protein kinase/endoribonuclease IRE1,838.0,118.0,345.0,812.0,109.0,952.0,973.0,281.0,998.0,33.0,295.0
Bromodomain-containing protein 4,84.0,694.0,463.0,802.0,932.0,196.0,164.0,104.0,254.0,591.0,714.0
NADPH oxidase 4,509.0,830.0,899.0,227.0,826.0,20.0,295.0,669.0,47.0,888.0,498.0
Ketohexokinase,955.0,835.0,65.0,17.0,323.0,841.0,602.0,239.0,920.0,793.0,496.0
Lethal(3)malignant brain tumor-like protein 1,229.0,44.0,699.0,858.0,663.0,805.0,428.0,85.0,811.0,81.0,381.0
Lethal(3)malignant brain tumor-like protein 3,79.0,962.0,444.0,787.0,112.0,342.0,601.0,895.0,352.0,824.0,915.0
Microtubule-associated protein tau,44.0,685.0,158.0,979.0,443.0,751.0,683.0,475.0,612.0,473.0,497.0
15-hydroxyprostaglandin dehydrogenase [NAD+],183.0,805.0,107.0,58.0,986.0,641.0,41.0,431.0,5.0,809.0,432.0
G-protein coupled receptor 35,432.0,949.0,825.0,121.0,777.0,360.0,257.0,518.0,120.0,745.0,526.0
Bromodomain-containing protein 2,975.0,917.0,418.0,48.0,809.0,123.0,351.0,429.0,31.0,375.0,235.0
ATP-sensitive inward rectifier potassium channel 1,13.0,869.0,564.0,136.0,143.0,816.0,305.0,990.0,16.0,740.0,558.0
Neuropeptides B/W receptor type 1,122.0,176.0,538.0,997.0,210.0,41.0,426.0,484.0,731.0,438.0,717.0
Menin,978.0,205.0,254.0,292.0,348.0,687.0,748.0,479.0,863.0,504.0,423.0
Nuclear receptor ROR-gamma,849.0,32.0,838.0,277.0,267.0,860.0,402.0,592.0,964.0,355.0,391.0
Enteropeptidase,895.0,406.0,137.0,195.0,706.0,975.0,684.0,84.0,945.0,265.0,186.0
Endothelial PAS domain-containing protein 1,720.0,9.0,976.0,953.0,175.0,8.0,781.0,667.0,471.0,208.0,811.0
Nicotinamide phosphoribosyltransferase,982.0,731.0,901.0,32.0,769.0,46.0,469.0,876.0,185.0,588.0,600.0
Replication protein A 70 kDa DNA-binding subunit,992.0,88.0,566.0,467.0,923.0,250.0,762.0,35.0,444.0,189.0,157.0
DNA topoisomerase I,62.0,716.0,467.0,836.0,229.0,446.0,360.0,854.0,423.0,866.0,694.0
Farnesyl diphosphate synthase,210.0,199.0,203.0,772.0,5.0,956.0,956.0,819.0,994.0,181.0,397.0
Glucagon-like peptide 1 receptor,744.0,223.0,242.0,865.0,933.0,450.0,290.0,364.0,152.0,432.0,266.0
Endothelin receptor ET-B,289.0,513.0,502.0,137.0,311.0,960.0,328.0,842.0,184.0,140.0,291.0
Steroid 5-alpha-reductase 1,862.0,335.0,300.0,63.0,986.0,591.0,405.0,3.0,774.0,660.0,462.0
Vasopressin V2 receptor,637.0,857.0,99.0,318.0,705.0,950.0,389.0,439.0,627.0,819.0,317.0
Somatostatin receptor 5,91.0,807.0,245.0,843.0,73.0,353.0,843.0,567.0,821.0,137.0,451.0
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",637.0,742.0,347.0,261.0,961.0,10.0,480.0,261.0,91.0,159.0,622.0
Transmembrane protease serine 6,48.0,153.0,538.0,681.0,228.0,585.0,752.0,697.0,626.0,701.0,550.0
Bromodomain-containing protein 3,42.0,712.0,879.0,866.0,1.0,878.0,263.0,999.0,531.0,689.0,624.0
Cysteinyl leukotriene receptor 1,817.0,486.0,994.0,887.0,542.0,80.0,344.0,400.0,633.0,910.0,847.0
Corticotropin releasing factor receptor 1,8.0,750.0,12.0,987.0,663.0,617.0,255.0,442.0,283.0,911.0,519.0
Plasminogen,377.0,576.0,359.0,838.0,215.0,256.0,666.0,558.0,393.0,139.0,762.0
Leukocyte adhesion glycoprotein LFA-1 alpha,656.0,86.0,94.0,371.0,793.0,953.0,888.0,60.0,936.0,28.0,171.0
Somatostatin receptor 2,16.0,910.0,420.0,122.0,272.0,922.0,259.0,895.0,93.0,438.0,430.0
DNA topoisomerase II alpha,917.0,856.0,981.0,200.0,519.0,11.0,429.0,363.0,341.0,912.0,857.0
Angiotensin-converting enzyme,649.0,344.0,732.0,673.0,563.0,211.0,561.0,116.0,332.0,656.0,553.0
Prostanoid EP1 receptor,931.0,37.0,480.0,183.0,876.0,883.0,206.0,448.0,448.0,380.0,246.0
Muscarinic acetylcholine receptor M4,180.0,996.0,327.0,277.0,724.0,229.0,289.0,759.0,71.0,921.0,720.0
Inosine-5'-monophosphate dehydrogenase 1,999.0,261.0,877.0,12.0,671.0,277.0,585.0,458.0,184.0,475.0,383.0
Receptor protein-tyrosine kinase erbB-2,545.0,482.0,317.0,523.0,525.0,655.0,767.0,362.0,935.0,85.0,406.0
TNF-alpha,48.0,532.0,497.0,870.0,25.0,261.0,193.0,946.0,626.0,648.0,655.0
Phosphodiesterase 5A,995.0,550.0,886.0,1.0,1000.0,52.0,488.0,7.0,159.0,675.0,248.0
Histone deacetylase 3,5.0,131.0,348.0,987.0,20.0,975.0,340.0,959.0,680.0,435.0,695.0
Serotonin 2b (5-HT2b) receptor,345.0,902.0,739.0,692.0,139.0,427.0,250.0,633.0,333.0,840.0,423.0
Thromboxane-A synthase,979.0,66.0,507.0,87.0,966.0,31.0,592.0,139.0,363.0,265.0,640.0
Prostanoid EP4 receptor,235.0,944.0,184.0,763.0,670.0,426.0,594.0,504.0,199.0,123.0,305.0
Tyrosine-protein kinase FYN,388.0,150.0,153.0,953.0,99.0,861.0,814.0,606.0,978.0,524.0,370.0
Macrophage colony stimulating factor  receptor,285.0,20.0,685.0,811.0,338.0,807.0,805.0,197.0,972.0,322.0,477.0
Dopamine D5 receptor,12.0,946.0,302.0,331.0,513.0,903.0,296.0,817.0,179.0,697.0,466.0
Somatostatin receptor 4,1000.0,25.0,384.0,0.0,942.0,195.0,630.0,330.0,157.0,676.0,527.0
Gonadotropin-releasing hormone receptor,458.0,130.0,987.0,1000.0,7.0,13.0,959.0,378.0,933.0,286.0,965.0
Steroid 5-alpha-reductase 2,45.0,937.0,207.0,667.0,350.0,981.0,525.0,579.0,819.0,508.0,182.0
Voltage-gated T-type calcium channel alpha-1H subunit,54.0,101.0,66.0,965.0,855.0,927.0,550.0,12.0,821.0,62.0,175.0
Thyroid hormone receptor alpha,188.0,604.0,564.0,887.0,371.0,503.0,210.0,620.0,609.0,503.0,496.0
4-hydroxyphenylpyruvate dioxygenase,1000.0,15.0,860.0,14.0,523.0,612.0,566.0,428.0,740.0,599.0,330.0
Tyrosine-protein kinase ABL,505.0,959.0,272.0,229.0,734.0,306.0,279.0,490.0,192.0,738.0,488.0
Histone deacetylase 6,955.0,879.0,628.0,2.0,940.0,187.0,174.0,826.0,26.0,814.0,283.0
Alpha-2a adrenergic receptor,74.0,251.0,703.0,994.0,17.0,507.0,879.0,360.0,952.0,325.0,879.0
Vascular endothelial growth factor receptor 1,186.0,183.0,91.0,927.0,471.0,891.0,894.0,526.0,835.0,24.0,548.0
Androgen Receptor,604.0,308.0,113.0,663.0,16.0,865.0,749.0,994.0,945.0,474.0,379.0
Tissue-type plasminogen activator,393.0,587.0,516.0,145.0,987.0,683.0,191.0,158.0,338.0,656.0,410.0
Serotonin 4 (5-HT4) receptor,455.0,989.0,698.0,43.0,936.0,7.0,147.0,493.0,1.0,636.0,719.0
Calcium sensing receptor,1.0,989.0,862.0,991.0,214.0,228.0,128.0,891.0,9.0,990.0,798.0
Prostanoid EP2 receptor,299.0,974.0,513.0,890.0,432.0,240.0,138.0,230.0,94.0,684.0,588.0
Neuronal acetylcholine receptor protein alpha-4 subunit,420.0,7.0,35.0,764.0,38.0,996.0,875.0,706.0,962.0,8.0,107.0
"Potassium channel, inwardly rectifying, subfamily J, member 11",1000.0,21.0,752.0,1.0,995.0,249.0,770.0,6.0,905.0,139.0,67.0
Vasopressin V1a receptor,922.0,976.0,781.0,9.0,985.0,7.0,381.0,616.0,34.0,944.0,526.0
Glutamate carboxypeptidase II,772.0,124.0,902.0,951.0,252.0,170.0,573.0,505.0,932.0,704.0,900.0
Serotonin 1b (5-HT1b) receptor,794.0,340.0,249.0,14.0,709.0,542.0,678.0,248.0,366.0,620.0,747.0
Serotonin 3a (5-HT3a) receptor,10.0,659.0,251.0,851.0,4.0,995.0,219.0,979.0,704.0,163.0,294.0
Aldose reductase,163.0,454.0,401.0,900.0,143.0,672.0,788.0,277.0,921.0,378.0,400.0
