,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,183.0,620.0,844.0,838.0,369.0,326.0,891.0,53.0,796.0,669.0,977.0
Leucine-rich repeat serine/threonine-protein kinase 2,141.0,436.0,829.0,469.0,40.0,534.0,189.0,792.0,944.0,888.0,744.0
Tyrosyl-DNA phosphodiesterase 1,569.0,574.0,760.0,881.0,847.0,252.0,855.0,774.0,469.0,0.0,703.0
Transitional endoplasmic reticulum ATPase,811.0,408.0,480.0,963.0,511.0,437.0,940.0,987.0,111.0,0.0,776.0
Glucokinase regulatory protein,307.0,929.0,628.0,155.0,585.0,627.0,155.0,25.0,565.0,681.0,510.0
Pyruvate kinase isozymes M1/M2,455.0,785.0,760.0,7.0,941.0,995.0,205.0,4.0,279.0,999.0,322.0
Transient receptor potential cation channel subfamily M member 8,872.0,461.0,593.0,96.0,204.0,156.0,485.0,513.0,143.0,913.0,436.0
G-protein coupled receptor 55,417.0,537.0,547.0,747.0,771.0,604.0,434.0,941.0,294.0,226.0,387.0
Endoplasmin,618.0,167.0,65.0,281.0,16.0,617.0,642.0,984.0,705.0,192.0,353.0
Serine/threonine-protein kinase/endoribonuclease IRE1,268.0,487.0,914.0,132.0,711.0,587.0,331.0,89.0,121.0,515.0,601.0
Bromodomain-containing protein 4,598.0,753.0,829.0,421.0,237.0,671.0,579.0,992.0,352.0,31.0,148.0
NADPH oxidase 4,155.0,756.0,628.0,880.0,949.0,308.0,120.0,43.0,515.0,537.0,575.0
Ketohexokinase,594.0,786.0,259.0,954.0,172.0,101.0,657.0,569.0,498.0,135.0,839.0
Lethal(3)malignant brain tumor-like protein 1,582.0,322.0,380.0,899.0,175.0,284.0,559.0,139.0,960.0,982.0,865.0
Lethal(3)malignant brain tumor-like protein 3,237.0,31.0,174.0,114.0,415.0,945.0,915.0,688.0,750.0,304.0,590.0
Microtubule-associated protein tau,328.0,838.0,891.0,932.0,748.0,131.0,467.0,525.0,606.0,120.0,525.0
15-hydroxyprostaglandin dehydrogenase [NAD+],788.0,523.0,751.0,549.0,427.0,139.0,58.0,234.0,256.0,944.0,117.0
G-protein coupled receptor 35,954.0,442.0,108.0,6.0,188.0,988.0,56.0,292.0,137.0,998.0,65.0
Bromodomain-containing protein 2,44.0,35.0,376.0,577.0,849.0,392.0,589.0,157.0,957.0,978.0,288.0
ATP-sensitive inward rectifier potassium channel 1,444.0,658.0,530.0,796.0,258.0,875.0,800.0,992.0,8.0,0.0,763.0
Neuropeptides B/W receptor type 1,465.0,944.0,527.0,110.0,901.0,212.0,695.0,155.0,183.0,38.0,764.0
Menin,169.0,804.0,858.0,763.0,159.0,20.0,653.0,316.0,718.0,276.0,941.0
Nuclear receptor ROR-gamma,726.0,109.0,554.0,751.0,957.0,78.0,831.0,937.0,424.0,19.0,370.0
Enteropeptidase,455.0,649.0,533.0,229.0,918.0,932.0,365.0,41.0,693.0,969.0,326.0
Endothelial PAS domain-containing protein 1,858.0,634.0,370.0,651.0,403.0,309.0,885.0,705.0,750.0,118.0,292.0
Nicotinamide phosphoribosyltransferase,950.0,804.0,653.0,408.0,110.0,103.0,561.0,143.0,300.0,76.0,843.0
Replication protein A 70 kDa DNA-binding subunit,824.0,604.0,813.0,847.0,116.0,6.0,223.0,111.0,872.0,944.0,414.0
DNA topoisomerase I,197.0,20.0,303.0,922.0,259.0,966.0,466.0,820.0,651.0,441.0,389.0
Farnesyl diphosphate synthase,8.0,260.0,117.0,163.0,757.0,989.0,818.0,995.0,711.0,23.0,575.0
Glucagon-like peptide 1 receptor,799.0,950.0,691.0,10.0,887.0,972.0,120.0,3.0,174.0,995.0,115.0
Endothelin receptor ET-B,326.0,610.0,45.0,78.0,0.0,595.0,193.0,999.0,430.0,884.0,609.0
Steroid 5-alpha-reductase 1,888.0,264.0,623.0,385.0,805.0,457.0,753.0,291.0,147.0,765.0,242.0
Vasopressin V2 receptor,293.0,602.0,578.0,988.0,923.0,49.0,775.0,326.0,998.0,32.0,709.0
Somatostatin receptor 5,410.0,726.0,599.0,972.0,425.0,161.0,425.0,690.0,876.0,103.0,734.0
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",769.0,784.0,565.0,502.0,965.0,838.0,503.0,0.0,219.0,962.0,809.0
Transmembrane protease serine 6,270.0,479.0,36.0,447.0,159.0,947.0,289.0,998.0,11.0,13.0,401.0
Bromodomain-containing protein 3,70.0,140.0,766.0,536.0,113.0,472.0,273.0,696.0,721.0,323.0,895.0
Cysteinyl leukotriene receptor 1,459.0,224.0,375.0,738.0,140.0,881.0,234.0,516.0,286.0,872.0,387.0
Corticotropin releasing factor receptor 1,588.0,768.0,554.0,632.0,815.0,155.0,220.0,26.0,587.0,970.0,274.0
