,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,508.0,732.0,900.0,332.0,673.0,122.0,773.0,156.0,691.0,170.0,189.0
Leucine-rich repeat serine/threonine-protein kinase 2,476.0,742.0,637.0,219.0,970.0,465.0,902.0,170.0,602.0,785.0,685.0
Tyrosyl-DNA phosphodiesterase 1,997.0,574.0,669.0,322.0,117.0,133.0,134.0,336.0,368.0,742.0,326.0
Transitional endoplasmic reticulum ATPase,468.0,96.0,217.0,564.0,70.0,96.0,366.0,971.0,618.0,245.0,73.0
Glucokinase regulatory protein,962.0,223.0,699.0,20.0,120.0,220.0,96.0,151.0,596.0,350.0,42.0
Pyruvate kinase isozymes M1/M2,715.0,153.0,221.0,112.0,70.0,714.0,347.0,973.0,418.0,564.0,969.0
Transient receptor potential cation channel subfamily M member 8,935.0,987.0,306.0,321.0,225.0,323.0,265.0,399.0,671.0,684.0,308.0
G-protein coupled receptor 55,937.0,17.0,651.0,909.0,972.0,501.0,132.0,3.0,554.0,833.0,598.0
Endoplasmin,944.0,963.0,842.0,102.0,30.0,184.0,815.0,926.0,595.0,13.0,568.0
Serine/threonine-protein kinase/endoribonuclease IRE1,17.0,25.0,477.0,851.0,829.0,975.0,443.0,806.0,215.0,933.0,227.0
Bromodomain-containing protein 4,531.0,953.0,480.0,580.0,924.0,118.0,210.0,9.0,509.0,358.0,627.0
NADPH oxidase 4,958.0,689.0,544.0,126.0,7.0,335.0,410.0,986.0,383.0,422.0,53.0
Ketohexokinase,600.0,15.0,170.0,151.0,190.0,456.0,429.0,848.0,426.0,894.0,25.0
Lethal(3)malignant brain tumor-like protein 1,461.0,210.0,133.0,988.0,889.0,28.0,152.0,0.0,701.0,529.0,521.0
Lethal(3)malignant brain tumor-like protein 3,78.0,987.0,812.0,764.0,969.0,148.0,686.0,36.0,558.0,73.0,773.0
Microtubule-associated protein tau,669.0,975.0,774.0,123.0,50.0,473.0,741.0,962.0,643.0,217.0,883.0
15-hydroxyprostaglandin dehydrogenase [NAD+],867.0,19.0,440.0,132.0,31.0,961.0,660.0,998.0,413.0,617.0,461.0
G-protein coupled receptor 35,42.0,997.0,942.0,891.0,998.0,658.0,859.0,9.0,475.0,302.0,969.0
Bromodomain-containing protein 2,941.0,564.0,634.0,25.0,44.0,439.0,430.0,986.0,213.0,558.0,86.0
ATP-sensitive inward rectifier potassium channel 1,102.0,397.0,208.0,647.0,754.0,852.0,915.0,796.0,734.0,577.0,875.0
Neuropeptides B/W receptor type 1,122.0,308.0,212.0,888.0,388.0,260.0,589.0,241.0,792.0,166.0,406.0
Menin,759.0,67.0,590.0,126.0,27.0,968.0,517.0,999.0,223.0,798.0,181.0
Nuclear receptor ROR-gamma,216.0,838.0,112.0,897.0,930.0,509.0,748.0,214.0,591.0,190.0,687.0
Enteropeptidase,78.0,39.0,683.0,886.0,939.0,403.0,145.0,61.0,189.0,934.0,554.0
