,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,0.0067831677327,-0.0288682012332,-0.00919814522854,0.00204016817872,0.00039947689507,0.0192181303062,-0.00013794438505,-0.00185883017961,0.023223987161,-0.0020177451157,-0.0174516160422
Leucine-rich repeat serine/threonine-protein kinase 2,0.018342034101,-0.00358172321641,0.00880692714638,-0.0140320306747,0.00212007456667,-0.0157911206859,-0.00183859800401,-0.00549157548056,0.0123112694305,0.00423630588435,0.00082189367451
Tyrosyl-DNA phosphodiesterase 1,-0.0196402379214,0.0160177745808,-0.00402692816476,0.0012624449772,0.0111584518908,-0.00548718022097,0.00329839852863,-0.0237200744841,0.00608982446668,0.0034199477134,0.00914646639114
Transitional endoplasmic reticulum ATPase,-0.0343801810686,0.00374973066651,0.00758235664901,0.0125338882604,-0.0119717187562,0.0019720776688,-0.0031701863989,0.000569015319761,0.0130295390851,-0.00378535005535,0.00174104175502
Glucokinase regulatory protein,-0.0034127342072,0.000752712077239,-0.00963447877598,-0.00968244596294,-0.00789689581127,0.00710210606976,0.00226453354647,0.0217419643801,-0.0103522214645,0.0138734129679,0.00481607928803
Pyruvate kinase isozymes M1/M2,0.0200168731898,-0.0053641446977,0.00597223340524,0.00700051460577,0.017213319588,-0.01536308457,-0.00619021812948,-0.0155180176652,0.00320764667697,0.00890843502895,-0.00238313284763
Transient receptor potential cation channel subfamily M member 8,-0.00541080304891,0.025195096325,-0.0208167844751,-0.0383537417514,0.0268932616087,0.0129252395024,-0.0172466376295,0.00747835302059,-0.0258704943277,0.00576889242594,-0.00701819181594
G-protein coupled receptor 55,0.00682045025683,0.0173007644217,-0.00536725218552,-0.00430312097892,0.0309839846436,-0.00450151386943,-0.0090107601439,-0.0316524906142,-0.0257663880169,-0.000514858919146,-0.00941435874718
Endoplasmin,-0.00506895523571,0.00557452961566,0.016402111819,0.0100901291896,-0.0257314370605,-0.0188424576363,-0.0034156778701,0.0258195468198,-0.00602562775904,0.00343168872152,0.012504445815
Serine/threonine-protein kinase/endoribonuclease IRE1,-0.00996418606891,0.0120384406694,0.00407880040892,-0.00934565723397,0.0125328282034,-0.0189431454015,-0.0213004928517,0.00565774720552,-0.0304137096448,0.0195162059554,0.00516616603747
Bromodomain-containing protein 4,0.0139425495024,-0.00556161149169,0.000484121057896,-0.00746319066303,-0.0143304139084,0.00776650291038,0.00955620312304,0.0124346041831,0.00601133789799,-0.00217857839931,-0.00536217424507
NADPH oxidase 4,0.00120533424295,-0.0086533232032,-0.013363861861,0.00883339245731,-0.0079529765686,0.0266832449866,0.00631451482401,-0.00362410991735,0.0187767914186,-0.0105113746625,0.00022801736332
Ketohexokinase,-0.0203747541468,-0.0107315614071,0.0155039249375,0.0235945116304,0.00325709354772,-0.0116599344951,-0.00363201424843,0.00583134891432,-0.016311090158,-0.0100966870988,-0.000953885786926
Lethal(3)malignant brain tumor-like protein 1,0.00764179644982,0.0157001562138,-0.00470024575963,-0.0115402261402,-0.00344834443873,-0.00865117801387,0.00142966611757,0.0132828491413,-0.00866912636902,0.013557188883,0.00283596767155
Lethal(3)malignant brain tumor-like protein 3,0.0179919487426,-0.0188766798315,0.00330603581855,-0.00640401266834,0.0154230136812,0.00577155904761,-0.00106201914778,-0.0116387951697,0.00541045725675,-0.00822260532091,-0.013069283109
Microtubule-associated protein tau,0.0193239981261,-0.00460314073465,0.0113423891,-0.0231709313921,0.00148327586564,-0.00699508707169,-0.00477867552332,0.000753613323743,-0.00218802779371,0.00112386749697,0.000812193790264
15-hydroxyprostaglandin dehydrogenase [NAD+],0.0094512143203,-0.00869776471077,0.0124692237961,0.0176463445427,-0.0248241856018,-0.00351398415369,0.0200130102324,0.00230942434116,0.0272221199797,-0.00819726228621,0.000853564455786
G-protein coupled receptor 35,0.0042984445852,-0.0180725636471,-0.00959020274481,0.0182155947461,-0.00701091640674,0.00656657310249,0.00988386570136,0.00211844561162,0.0166526166763,-0.00595045076455,0.0015916634069
Bromodomain-containing protein 2,-0.0214893535826,-0.0148487385434,0.000470325365063,0.0169385682353,-0.00985459523333,0.0108044240292,0.00358782020138,5.1899030348e-05,0.0190351167103,0.00129550385298,0.00601315906383
ATP-sensitive inward rectifier potassium channel 1,0.0262854788623,-0.0119524090005,-0.00123968887232,0.0111385223077,0.011543188673,-0.00937795537635,0.00561917816296,-0.0299152463923,0.0236981195411,-0.00607673172985,-8.88767978413e-05
Neuropeptides B/W receptor type 1,0.0121402043206,0.0090548227307,-0.0016308442963,-0.0337302429599,0.00693904095221,0.0184556018734,0.000980587938437,-0.000856921638686,-0.00737933113207,0.001031625217,-0.00758234213907
Menin,-0.022527453469,0.00807741514295,0.00545187983234,0.00513436399723,0.00334217369588,-0.004095519468,-0.00647910877866,0.000234594830901,-0.00935177761781,-0.000182714494314,0.00165695812947
Nuclear receptor ROR-gamma,-0.0101016369517,0.0181922971241,-0.00994245854928,0.00622311380438,0.00605813123419,-0.0103242990854,0.00231621721714,-0.00174047729861,-0.0189558851125,0.00375306956359,0.00266465935108
Enteropeptidase,-0.0121112793616,0.00327380138162,0.0105272285856,0.00920045506837,-0.00421032983448,-0.0192354928783,-0.00361337466836,0.0143123564635,-0.0145035006065,0.00642749597037,0.00878444208998
Endothelial PAS domain-containing protein 1,-0.00721229791836,0.0253120586993,-0.0245588592918,-0.0203551595668,0.00930781139011,0.0243436254961,-0.00897088821055,-0.00542136850748,3.87004342113e-05,0.00731411258302,-0.0101465842836
Nicotinamide phosphoribosyltransferase,-0.0220317788064,-0.00559093501312,-0.0119358050146,0.0206188344686,-0.00703717485477,0.0184051427631,0.00114714266431,-0.0116537534086,0.00907423863579,-0.0018108202646,-0.00258698342719
Replication protein A 70 kDa DNA-binding subunit,-0.0258448049991,0.0129972901836,-0.0023450438436,0.000339446682955,-0.0147381757228,0.00621509138145,-0.00664269184596,0.018291247385,0.000991223191021,0.00771853858938,0.00900937166412
DNA topoisomerase I,0.0141533471365,-0.00645217935991,-0.000992028120415,-0.0111024604123,0.00644416380973,8.19905171948e-05,0.00214630712095,-0.0127349754713,0.000614790236514,-0.0132297286693,-0.00632190921358
Farnesyl diphosphate synthase,0.00772507537255,0.00857327050803,0.00923148595332,-0.00884653359582,0.0359942701452,-0.0211257990105,-0.0203632786408,-0.0105725222163,-0.0368053305681,0.00842781014563,0.0026868971046
Glucagon-like peptide 1 receptor,-0.00652473478259,0.00823797168082,0.00805150198888,-0.0125257700156,-0.0178582940145,0.00215485566874,0.00638201961342,0.00373729889183,0.0119054091426,0.00217075570598,0.00723271473842
Endothelin receptor ET-B,0.00555444192063,-0.000324270036503,-0.000157950652017,0.0107373153575,0.00455017074737,-0.019446684849,0.00367786701746,-0.0102861350414,0.00972941726722,0.0105924471819,0.00622841825018
Steroid 5-alpha-reductase 1,-0.0156334490858,0.00300067663161,0.00449198433037,0.0176475366752,-0.0318074887783,-0.00500322069487,0.000186686603911,0.0335792221625,-0.0101000230096,-0.00661803969058,-0.00103721595774
Vasopressin V2 receptor,-0.00338238837015,-0.00998622114226,0.0140121988832,0.00545977261652,-0.00457828683818,-0.0167366004646,0.0041771324079,0.00288868804715,-0.00262270813978,-0.00780655219116,0.00524830783577
Somatostatin receptor 5,0.0149402338392,-0.00605451127112,0.00826788863017,-0.00840502507472,0.0159408570947,0.00518445293463,-0.00840001789493,0.000404590337083,-0.00750515113979,0.0120211595132,0.00258276392647
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",-0.00380948393292,-0.00711515560991,0.00292188267602,0.00637682673449,-0.0192080679382,0.0303635235094,0.000131732868449,0.0063373111755,0.013086192154,0.0104530287307,-0.00425504363591
Transmembrane protease serine 6,0.0174278616649,0.0103008506924,-0.000669079986473,-0.00443895717992,0.00739474334213,-0.00171291761888,-0.00631071918006,-0.00477908428105,-0.00280818333262,-0.00420498363966,-0.00059427313596
Bromodomain-containing protein 3,0.0196602825631,-0.00520728056458,-0.011453839851,-0.0107830534043,0.0320511582318,-0.0106986861143,0.00558388057826,-0.0322660415307,-0.000653810394571,-0.00480076379928,-0.00361987111698
Cysteinyl leukotriene receptor 1,-0.00896763512315,-0.000174150134705,-0.0261072799325,-0.0128897090956,-0.00106107309371,0.0124109488522,0.00303452266488,0.00161452159702,-0.00308401143948,-0.0124499086808,-0.0112614663719
Corticotropin releasing factor receptor 1,0.0308619012339,-0.00585317555393,0.0263877359978,-0.0231951420823,-0.00318928673864,-0.00175443899376,0.00884833756082,0.00339615505469,0.00740768913982,-0.0121093864793,0.00159764694949
Plasminogen,0.00281057229159,-0.00177401414013,0.00308285349617,-0.00998271822,0.00781633322584,0.00652859398617,-0.00473619709924,-0.00139809989743,0.00205493138782,0.00956781486156,-0.007768936466
Leukocyte adhesion glycoprotein LFA-1 alpha,-0.00435379897478,0.0120601013397,0.0119394546735,0.0024791990823,-0.00880580349845,-0.0188615019954,-0.0125758958835,0.0137449166889,-0.0152946117402,0.0178171219196,0.00706228996408
Somatostatin receptor 2,0.0247382011478,-0.0126753342981,0.00290603931185,0.0128324933422,0.00646209193984,-0.0139425674434,0.00787781624318,-0.0118502792897,0.0147189929798,0.00201017444886,0.00276665298156
DNA topoisomerase II alpha,-0.0133661546697,-0.00968543565066,-0.0213581496473,0.00780841607958,-0.000616190934795,0.0243141545997,0.00131261228524,0.00240131320408,0.00334637706215,-0.0131469286166,-0.0104965797611
Angiotensin-converting enzyme,-0.0039507885508,0.00318806933525,-0.00655808021937,-0.00501861968364,-0.00239851223477,0.00697272223797,-0.00173365851576,0.0113339696249,0.00322411133276,-0.00343130153602,-0.00163475329807
Prostanoid EP1 receptor,-0.0157238182437,0.0180634343772,0.000537749219089,0.00916772796133,-0.0107554347777,-0.0114003272805,0.00872883634671,0.00246620748482,0.00188100140633,0.00291661495362,0.00770462981105
Muscarinic acetylcholine receptor M4,0.011064296729,-0.0346566737677,0.00545001952109,0.00697705196912,-0.00558331335123,0.00859505951759,0.00653134230324,-0.00690155249106,0.0175386759062,-0.0140475978893,-0.00512362142008
Inosine-5'-monophosphate dehydrogenase 1,-0.0357363100504,0.00622384549263,-0.0120263506894,0.0247811751458,-0.00408528817816,0.00513689921547,-0.00250968439026,0.000816311075134,0.00864707064346,0.000968106529878,0.00244586921767
Receptor protein-tyrosine kinase erbB-2,-0.000543353217397,0.000263339297505,0.00473062450833,-0.000352195308722,0.000194771694102,-0.0035199391811,-0.00645535202056,0.0047342152725,-0.015110588903,0.0153022563258,0.00295820381616
TNF-alpha,0.0162645005428,-0.000625678712712,-0.000556167238958,-0.0115504882507,0.0199337469679,0.00622808177273,0.00811381547377,-0.0171349884572,-0.002697245346,-0.00354067392793,-0.00406962507502
Phosphodiesterase 5A,-0.0303275973747,-0.00208513536265,-0.0126945888634,0.0337122079145,-0.0375948825994,0.0151470840063,-0.000220080090573,0.0241428639032,0.00832497463252,-0.00477048503027,0.00597176621914
Histone deacetylase 3,0.0274689576782,0.0130527210109,0.00513638323029,-0.0241750980085,0.0250104829844,-0.0207074712106,0.00505495476685,-0.0191116086659,-0.00405044526813,0.00216628544762,-0.0049977181517
Serotonin 2b (5-HT2b) receptor,0.00275806260487,-0.0156242375969,-0.00783692150636,-0.00687416533988,0.0101138610608,-0.000388837172545,0.00555863676435,-0.00587452443857,0.00350529996535,-0.0122918333356,0.00065525212942
Thromboxane-A synthase,-0.0242108332432,0.0147562273483,-0.00126769047266,0.0144480203643,-0.0202620957686,0.0196711192405,-0.00275509707166,0.0115564298377,0.00305929156692,0.00567403875742,-0.00343416605832
Prostanoid EP4 receptor,0.00711300171855,-0.0150650592122,0.00936839381279,-0.0066427116598,-0.00372803455477,0.00219612705572,-0.00254550014674,-0.000419553973335,0.00723304779575,0.011970884898,0.00539446941132
Tyrosine-protein kinase FYN,0.00194254397431,0.0118831644434,0.0110477066272,-0.0217619351452,0.0149120027963,-0.0144455080137,-0.0116276235276,-0.00409477788765,-0.0257907039912,-0.00146433586532,0.00273286275261
Macrophage colony stimulating factor  receptor,0.00473619427308,0.0212790523206,-0.00571220310662,-0.0100299788726,0.00291292928727,-0.00930952496947,-0.00954268595582,0.00726621296711,-0.0237684596484,0.00314331975758,-0.000741256986346
Dopamine D5 receptor,0.0340257339957,-0.0172090962685,0.00707655398326,0.00638165903806,0.00135394083936,-0.0127924012232,0.00754348147087,-0.00758521540772,0.0112998449323,-0.00421236036304,0.0024188431536
Somatostatin receptor 4,-0.0432168154045,0.0205192237246,0.00288312762169,0.0452756456655,-0.0157523677616,0.00778505939115,-0.0034203813905,0.00460658605449,0.0102684344771,-0.00394323168555,0.000173148742862
Gonadotropin-releasing hormone receptor,0.00161938153825,0.0107965510939,-0.0245804349822,-0.0420776161961,0.0284627619878,0.0243619625691,-0.019211783722,0.0025920485449,-0.0150299743958,0.00550748041245,-0.0192856851219
Steroid 5-alpha-reductase 2,0.0154026070222,-0.015372316617,0.00726585460063,-0.00431553075922,0.0035046673396,-0.0209044306568,-0.00123913163135,-0.00203463101721,-0.00916165135616,-0.000762428894583,0.00795040088919
Voltage-gated T-type calcium channel alpha-1H subunit,0.0167771148421,0.01375240608,0.0156996008726,-0.0200359489729,-0.0107530945326,-0.015062409364,-0.000711877226469,0.0251747441456,-0.00874050762836,0.0163456019691,0.00987927597243
Thyroid hormone receptor alpha,0.0094447601738,-0.00212982626772,-0.00102812225229,-0.0119029675798,0.0035529189935,0.000344103898841,0.00821641720274,-0.00262585700737,-0.00229331273067,4.38153500283e-05,0.000100918065525
4-hydroxyphenylpyruvate dioxygenase,-0.0447014972269,0.0255387507283,-0.00919831528338,0.0234930616245,0.00111660958917,-0.00190803021981,-8.81759483706e-05,0.00280930373679,-0.00469700495377,-0.00123415447122,0.00550683426409
Tyrosine-protein kinase ABL,-0.000664945499851,-0.0164863178237,0.00601915641157,0.00716160770331,-0.00633951065692,0.00439293737393,0.00545633891551,-0.000354153090503,0.00809052366484,-0.00528650125958,-0.000542724527062
