,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,0.00789572780639,-0.00262403472635,-0.00892704623589,-0.00823993295104,0.00332499789825,0.00471460770313,-0.00986496188479,0.015720559876,-0.00680877815193,-0.00341824529323,-0.0173774992311
Leucine-rich repeat serine/threonine-protein kinase 2,0.00956609962211,0.00214314748937,-0.00843980761425,0.00161264113092,0.0163704872717,-9.94701126714e-05,0.00862855911391,-0.00656598178361,-0.0133272807804,-0.0101913634662,-0.00512551330436
Tyrosyl-DNA phosphodiesterase 1,-0.00152762424502,-0.00163370624062,-0.00650202828874,-0.0107692673525,-0.00944002206476,0.00601896819917,-0.00964374854599,-0.00657643856859,0.00127993467731,0.0352629785093,-0.00467816684653
Transitional endoplasmic reticulum ATPase,-0.00671998909416,0.00274906249158,0.00107814520934,-0.01442953028,-0.000152523432223,0.00115611049875,-0.0133533952506,-0.021421108549,0.0106340170819,0.0412999323754,-0.005818026421
Glucokinase regulatory protein,0.0047594756921,-0.0139939950933,-0.00338353356755,0.00850741712796,-0.00140844270633,-0.00311002926007,0.00832763939682,0.0180946664159,-0.00151137460007,-0.00452124267615,-0.000474691174291
Pyruvate kinase isozymes M1/M2,-6.98998174785e-05,-0.00749788688609,-0.00686039963677,0.0227391845414,-0.0142150588287,-0.0264915009426,0.00665317683404,0.0233256547224,0.00404676016506,-0.0370483241236,0.00393930489684
Transient receptor potential cation channel subfamily M member 8,-0.0118489088441,-0.00124720387992,-0.00380701416592,0.00990214140367,0.00601912970087,0.00727953976926,-0.00128563418156,-0.00215346810528,0.00757548462414,-0.0130158403122,-8.81496087373e-05
G-protein coupled receptor 55,0.00195891851367,-0.00036122164079,-0.000843958870264,-0.00537180286811,-0.00654584450917,-0.00187508143314,0.00166531202967,-0.0134287135525,0.00482501930226,0.00672914320545,0.00234387478833
Endoplasmin,-0.00223542947254,0.00824920197603,0.0129916149124,0.00479102879183,0.0183458765975,-0.00220508015282,-0.00287712061138,-0.0182528494956,-0.00463069874407,0.00742667310221,0.00291455105062
Serine/threonine-protein kinase/endoribonuclease IRE1,0.00571292622347,0.000327902755156,-0.0130729597417,0.00932464710035,-0.00456475255412,-0.00120532562849,0.0035846694807,0.01132137923,0.0101381293962,-0.000447456153167,-0.00212493769003
Bromodomain-containing protein 4,-0.00178714530799,-0.00539833982792,-0.00688309018777,0.00155011430543,0.00635930856228,-0.00294497272322,-0.000905962241903,-0.0180291585676,0.00353084898659,0.0155757803276,0.00806183248228
NADPH oxidase 4,0.00906212173265,-0.00537506319003,-0.00201166836921,-0.00978873909827,-0.0146490593315,0.0043869835839,0.00987320864695,0.0160974156666,5.56176803132e-05,-0.000479582707305,-0.00131214103854
Ketohexokinase,-0.00255386607505,-0.00743100276861,0.00433442669638,-0.0134408897701,0.00701912317206,0.0109521723662,-0.00346008146554,-0.00213343991085,0.000253059964586,0.00861727068487,-0.00887309416892
Lethal(3)malignant brain tumor-like protein 1,-0.00127171098511,0.00457270242742,0.00304912935439,-0.00997972270471,0.00839013213599,0.00507971058519,9.47263227951e-05,0.00946890870099,-0.0144351531348,-0.0194950476335,-0.00813589511324
Lethal(3)malignant brain tumor-like protein 3,0.00505833709168,0.0156345018981,0.00730044398258,0.00953035148567,0.0020296146399,-0.0133036480751,-0.012344095503,-0.00403331572204,-0.00527519748356,0.0037836072299,-0.00188735798507
Microtubule-associated protein tau,0.00437702954179,-0.00865817652989,-0.0107498333796,-0.0136895993538,-0.00577871877014,0.0106141432744,0.000531534803338,-6.00295746161e-05,-0.00235916332002,0.0112507310507,0.000117394551116
15-hydroxyprostaglandin dehydrogenase [NAD+],-0.00847017572865,-0.00184015898978,-0.00725441235755,-0.00213366381418,0.000460635273571,0.00846065721092,0.0124422102465,0.00570245132041,0.0042245336745,-0.0154043382343,0.00914338245497
G-protein coupled receptor 35,-0.0192096314938,0.000967127807418,0.0108852072372,0.031893139805,0.0073110980388,-0.0233432802606,0.0135752332486,0.00420768693502,0.00985430460406,-0.0328744884973,0.0139592762958
Bromodomain-containing protein 2,0.0151097951747,0.0174918874871,0.00287669659058,-0.000827980838503,-0.00732923987201,0.00328046307563,-0.000781893410619,0.00895161502895,-0.0134310403808,-0.0151572432087,0.00573892595377
ATP-sensitive inward rectifier potassium channel 1,-0.000119888248768,-0.00483126200193,-0.00210963488306,-0.0084281295067,0.00426549976156,-0.0101372306638,-0.00781377431409,-0.0220693368001,0.021191973068,0.0265685993888,-0.0079062895567
Neuropeptides B/W receptor type 1,0.00109974799494,-0.0126740118805,0.000582732960994,0.0110619107623,-0.0107688943605,0.00769860079075,-0.00344209058203,0.00915965522657,0.00887739284793,0.0158467927751,-0.00470072778348
Menin,0.00784669274367,-0.0083000667585,-0.00928103197568,-0.00611423298572,0.00845518279548,0.0209350551037,-0.00294618516214,0.00370046491341,-0.00589094256097,0.0043847676984,-0.0137139033198
Nuclear receptor ROR-gamma,-0.00378591647733,0.0118401471047,0.000220523821965,-0.00518618193778,-0.0136435249088,0.013085039283,-0.00718906431633,-0.013103773575,0.00264557954031,0.0207687776869,0.00377695194558
Enteropeptidase,0.000623017024454,-0.00350029758038,-0.000722017114222,0.00575201804629,-0.0108180522558,-0.013478790201,0.0024250430154,0.01309709901,-0.00485176566632,-0.0172463009461,0.00364960169448
Endothelial PAS domain-containing protein 1,-0.00919926366622,-0.00252894940648,0.00226428790118,-0.00290881507767,0.00266215312148,0.00463485232307,-0.0102351431937,-0.00476381307327,-0.0055190515694,0.00971279406287,0.00465567770489
Nicotinamide phosphoribosyltransferase,-0.0122878146962,-0.00527925894476,-0.00173443166874,0.0029476865744,0.0115004869891,0.0113364628596,-0.000508649846073,0.0100176656392,0.00525104506607,0.012700079833,-0.00688254779311
Replication protein A 70 kDa DNA-binding subunit,-0.00848218256355,-0.0024359284019,-0.00774052542325,-0.00911184479465,0.00948328235779,0.0239211519266,0.00659609057429,0.0100500809002,-0.00970084881426,-0.0146109412822,0.00208556977924
DNA topoisomerase I,0.00584629342823,0.0173047524422,0.00312344703296,-0.0133636472923,0.00372344162803,-0.0175111555343,-0.000140885521472,-0.00838950676532,-0.00457045582908,-0.000371000290685,0.000608685142284
Farnesyl diphosphate synthase,0.0209903001869,0.00541024760896,0.00998694100343,0.0074760071804,-0.00561710115118,-0.0198032127526,-0.0070764582879,-0.0275983691333,-0.00425475232962,0.0189097043449,-0.00119598154843
Glucagon-like peptide 1 receptor,-0.00769111479182,-0.0147297782758,-0.00424083757758,0.0213313036577,-0.0104348146006,-0.0177591792803,0.0110071779654,0.0259930196996,0.00878282520555,-0.0270800748277,0.0104515383505
Endothelin receptor ET-B,0.00400533786576,-0.00227659490909,0.0130070492278,0.0117367178422,0.0358828717289,-0.00169516330618,0.00665848915167,-0.0279790592736,0.00128890921661,-0.0108441160314,-0.00256287649125
Steroid 5-alpha-reductase 1,-0.0129493431295,0.00548646172418,-0.00355761798473,0.00184420891239,-0.00875322305312,0.000422234421773,-0.00774566997604,0.00367368076742,0.00891931810176,-0.00887809230928,0.00615795558597
Vasopressin V2 receptor,0.00704238456932,-0.00127773421897,0.00027734434253,-0.0221660976765,-0.0111559568908,0.0205952935506,-0.00482844504315,0.00677065349532,-0.0280020582569,0.0227047431803,-0.00253173547155
Somatostatin receptor 5,0.00309970702747,-0.00399631296782,-0.00137297216505,-0.0150780499769,0.00321885551279,0.00902935389783,0.00236975934669,-0.00280122534084,-0.00833887847637,0.0121097604827,-0.00344263617192
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",-0.00584975655642,-0.0059915786492,-0.000646716392447,0.000405153032373,-0.0162569187291,-0.00865958243679,-0.000377826101304,0.0329196045838,0.00666187533767,-0.0147961704969,-0.00840852930883
Transmembrane protease serine 6,0.00689527626685,0.00145943485976,0.0183183549654,0.00315524202683,0.0094676967926,-0.0121653253687,0.00521390058208,-0.0297833796359,0.0232755598106,0.0210661623183,0.00300731167739
Bromodomain-containing protein 3,0.0103374885655,0.0072770532282,-0.00750131468335,-0.0018048320818,0.00867128160361,-0.00102405740702,0.00339605014764,-0.00527763121056,-0.00607229613313,0.00247423206599,-0.0116654315687
Cysteinyl leukotriene receptor 1,-0.00033912568671,0.00593675167588,0.00155753721243,-0.00558842524645,0.00734118969805,-0.0102377566912,0.0053276407764,-0.000853698327601,0.00346533427475,-0.0108296862014,0.0021155872035
Corticotropin releasing factor receptor 1,-0.00206921749761,-0.0066197774366,-0.00120209393522,-0.0033074869479,-0.00783189870989,0.00888861301493,0.00604977971037,0.0157914160172,-0.00208261736444,-0.0163994148016,0.00418664443273
Plasminogen,0.000832905303122,0.010591944367,0.00559385950167,-0.00699954862171,-0.00867328062382,0.0119720331782,-0.00507583495843,0.00259498719433,-0.00989311164558,0.00945579125798,0.00526604137591
Leukocyte adhesion glycoprotein LFA-1 alpha,-0.00734808122554,-0.00744720270112,-0.00365120323879,0.00741019167753,-0.00457506484108,0.00612496632479,-0.0149404175691,-0.00208334966924,-0.000211698039014,0.00839397522323,0.0066451724535
Somatostatin receptor 2,-0.0145469033768,-0.00660678711431,-0.0151087288642,0.0104680042931,-0.00781051071801,-0.00106120512461,0.00456268911529,0.0229341274432,0.00617748325505,-0.0267276343074,0.0133330357188
DNA topoisomerase II alpha,-0.00267351082097,1.72569780063e-05,0.0056549998619,0.00112381942115,0.00577998588368,0.003076253016,-8.96726001445e-05,-0.00541235638256,-0.0036782980803,0.00136712234422,0.000484973679581
Angiotensin-converting enzyme,0.00231558758028,0.0024235260425,0.000796749121966,0.00574503614102,-0.00196732664217,-0.0013226077487,-0.0147930181984,-0.00966493379512,-0.0139274397626,0.0218335046123,-0.0124460329154
Prostanoid EP1 receptor,-0.00704172173706,-0.00278872467688,-0.00669665563976,0.00259029637904,0.0226272647313,0.0129938000584,0.00627931487354,-0.0212037668629,0.0238240736291,0.00498105559022,-0.00399696002663
Muscarinic acetylcholine receptor M4,-0.0088224755533,0.00170948637101,0.00342788217207,0.0050723942944,-0.00024633010114,-0.00589856001067,-0.00255214319233,-0.0118118585694,0.00872179941112,0.00197962683015,0.0112897546394
Inosine-5'-monophosphate dehydrogenase 1,0.0155837343118,0.0163194090061,0.00814079338698,-0.0122777435712,0.000799757660886,0.00391558948206,0.00247561709074,-0.0180834669757,0.00730442972252,0.0019570828702,-0.00305532503685
Receptor protein-tyrosine kinase erbB-2,-0.00171956755235,-0.0242138218075,-0.0114303579866,-0.00509364707248,-0.00456643747337,0.0143140289567,0.00747735384782,0.0326518760103,-0.00793929901127,-0.000550586951422,-0.00966000542184
TNF-alpha,0.0111667530736,0.0046153270672,-0.00989556507811,-0.00066560132483,0.0135970982231,-0.00641211223157,0.0163667938369,0.000454734890205,-0.00457154408571,-0.0227211111353,-0.0107101028937
Phosphodiesterase 5A,-0.00896497129335,0.009750856948,0.0001242238038,0.0167187088883,0.000662094922723,-0.00994669025107,-0.00789408786523,0.00487187328647,-0.0025557642847,-0.0227168743772,0.00357146621183
Histone deacetylase 3,0.00811186702341,0.00115416708526,0.0173875180145,-0.0121868923046,-0.00658476902016,-0.0136879951743,0.00217857954349,-0.0114881481066,-0.000815374148319,0.0185715867305,0.000963965190306
Serotonin 2b (5-HT2b) receptor,0.00942765639616,-0.0156074368095,0.00180855013085,-0.0135991064286,-0.00655318736328,0.00279633554009,-0.0110680722795,-0.00155404255252,-0.00103556512432,0.0260990125728,-0.00643727305241
Thromboxane-A synthase,0.0157015807812,0.0140899038597,-0.00330990449787,-0.0139069914273,-0.0140385773347,-0.0020959556484,-0.000788713560656,0.0149102371691,-0.0195500485386,-0.0161557852117,-0.01097468699
Prostanoid EP4 receptor,0.00150582797417,0.0149147863521,0.0117074923941,0.0126518794913,0.00292360254241,0.00624333905233,-0.000865375132087,-0.0224799335749,-0.00988807830305,0.0145443264616,0.0152968995506
Tyrosine-protein kinase FYN,-0.00688973288829,0.00310243324538,-0.00864029350991,-0.0092411562619,0.00277544207194,0.0153587408875,-0.00239511463718,-0.00378593753677,0.00593065304973,0.0093107388564,0.0021692053326
Macrophage colony stimulating factor  receptor,0.00978637211618,0.0054157364993,-0.00453694046572,-0.00846303387037,0.00530286200869,-0.00144375569127,-0.00821537118166,-0.0174312406987,-0.00121446162604,0.0143630423095,-0.000410471216283
Dopamine D5 receptor,-0.00757387346461,-0.0103969011305,-0.000824819933333,0.00378979337952,-0.00560867154491,-0.00200562687686,0.00738656775469,0.0273735477909,0.00878813442038,-0.0133784200523,-0.0105014119645
Somatostatin receptor 4,-0.000722812417591,0.0119657063055,0.0088163200031,0.00231482561264,-0.0105328766747,-0.0109409355958,-0.00267213391955,-0.00223499627926,0.00685387788595,0.00536323052901,0.00673335170008
Gonadotropin-releasing hormone receptor,-0.0154953184821,-0.00874457149966,-0.00100622575677,0.0268460300811,0.00175637460191,-0.00610006622045,0.00461031393282,-0.0047359624528,0.0212449145977,-0.014727306106,0.00750437051854
Steroid 5-alpha-reductase 2,-0.00991374641626,0.0128415666504,-0.010928644027,-0.00545947464341,-0.00809329528867,0.0115509509102,-0.00627999955555,0.013386004293,-0.0055102420245,-0.00111195541671,0.00518009849314
Voltage-gated T-type calcium channel alpha-1H subunit,-0.00697288691275,-0.00489099435571,0.00152157569653,0.0204310648971,-0.00874237151186,-0.00275376603082,0.00286810571485,0.010731675232,0.0106630750022,-0.0122858385539,-0.0014026136883
Thyroid hormone receptor alpha,-0.00395243854386,-0.00646291599579,0.00764161011869,0.0125017311616,0.0182926639047,-0.0107254789261,0.00208798052048,-0.0152828844545,-0.00243785653968,-0.00318221678807,0.00738673163758
4-hydroxyphenylpyruvate dioxygenase,0.00417399827397,-0.00124651498873,0.00819929349322,-0.00847367381168,0.00190807763197,-0.00456201373259,0.0139716914424,0.00853642684995,-0.00756699088506,-0.00299246571079,0.00620612397831
Tyrosine-protein kinase ABL,0.00940000376029,-0.015830446474,0.0024952673967,0.00362816411605,0.00733888741538,-0.0221469792643,-0.00827439708384,-0.00662869374283,-0.00205741209664,0.00591652000198,-0.00606103397288
Histone deacetylase 6,-0.000275434474126,-0.00600413031555,-0.00318512506184,-0.0263043542831,-0.0073604944551,0.0128892694098,-0.00144657884868,0.00704637673644,-0.0087745828706,0.00178643719447,-0.00364393116937
Alpha-2a adrenergic receptor,0.00677815631974,0.00107810987125,0.000575685120902,-0.0323098957704,-0.00145017538061,0.0166411465409,0.0109093873197,0.0183907763381,-0.00207977708651,0.000797562123286,-0.0160455912961
Vascular endothelial growth factor receptor 1,0.0108702592736,0.0128234209983,-0.0028830194991,0.0080118383827,-0.000921311107214,-0.0100511889763,0.00197487633549,0.00678593604088,-0.0110799798732,-0.0147164299691,0.00177531068946
Androgen Receptor,0.0108964473532,0.0131106239152,-0.00547905137755,-0.00382980490126,0.00852892474924,-0.00297715113042,-0.00589870167633,-0.0219207368041,0.00156106043832,0.0149376308413,-0.00498672212559
Tissue-type plasminogen activator,0.0115834491149,0.0112429255474,0.0136952660284,-0.00583761215818,0.0108382513334,0.00988409691478,0.00270112443379,-0.00927471457695,-0.0115049562211,-0.0027830627822,-0.0101323626232
Serotonin 4 (5-HT4) receptor,-0.00526749341466,0.00593345232546,0.0104829991433,0.00212407220675,-0.00682464210124,-0.00892261662634,-0.00415132582631,-0.00396220767015,-0.00331636732255,0.000652748753061,0.00505242114474
Calcium sensing receptor,-0.00208425603413,-0.00636514238971,-0.00170647246329,-0.00249701500382,-0.00681076960432,-0.000552145972336,-0.00368333410454,0.00563618929989,-0.0143093837509,0.0102585664749,-0.00605445778309
Prostanoid EP2 receptor,0.000566665741774,-0.0218787938999,-0.0242776658153,0.0184950722274,0.000251849583425,0.000996541012584,-0.00353558461454,0.0125159230181,0.0102912817472,-0.00034911877352,-0.0155480034718
Neuronal acetylcholine receptor protein alpha-4 subunit,-0.00996700808746,0.00598414544338,0.00612432801935,0.0209586877223,-0.0141339570718,-0.0126718214995,0.00357655132909,0.0207969892021,0.0116213055592,-0.0310151293317,0.016612982588
"Potassium channel, inwardly rectifying, subfamily J, member 11",-0.00461696216638,0.00303981239249,0.00271270704569,-0.000116554331047,0.0308827265549,-0.000796193455799,0.00511695912278,-0.00971009936292,-0.00137099810361,-0.00657396738828,0.000321891390764
Vasopressin V1a receptor,0.00551304651842,0.00313450364479,-0.0043302756112,-0.00358218916664,-0.00338270074589,0.000872047594776,-0.000476377190881,-0.00261547367301,-0.000179623902962,-0.00392856209152,0.00597294350475
Glutamate carboxypeptidase II,0.00720037215622,-0.00457166636613,0.0072456162176,-0.00637527763955,0.001617892674,0.0103545702878,0.00823065611101,-0.0122565556241,-0.0133653039843,0.0051578633064,0.00545345602876
Serotonin 1b (5-HT1b) receptor,0.00878364366445,0.00479036910517,0.00377844157393,-0.00764955220989,0.00682986550399,0.00346146325914,-0.00453429318453,-0.0231143177746,0.00279375699947,0.0152995309328,-0.00318132224419
Serotonin 3a (5-HT3a) receptor,-0.0102720938792,0.00489641346815,-0.00399225532664,0.0093801726278,-0.00538491429132,-0.00121687798259,-0.00740972083093,-0.00241138164283,0.014777132663,0.0256819701833,0.00263328048978
Aldose reductase,0.017672573669,-0.0215573522833,-0.00379180395682,-0.018018003532,0.0118156168035,0.00858378347856,0.00760441025213,-0.00458831105683,0.000356796432252,0.00326313507875,-0.0110473149296
Cholecystokinin A receptor,-0.00164650958298,0.00911762403554,-0.00174572908727,0.00330604100497,-0.00288506787972,0.00440148862499,-0.00331798291981,0.0110784510935,0.000941295160207,-0.0148385012738,0.00557574485517
FK506-binding protein 1A,-0.0178699694635,-0.00760720450218,0.000562446519554,0.00934793565853,0.00875982967246,-0.00545710885205,-0.000988438744301,0.00216342806945,0.00954239980896,-0.00582100962164,0.00426771737843
GABA transporter 1,0.000606057002132,-0.0076184030068,-0.00537116721954,-0.0103266054448,-0.00883896307451,0.00539961911996,0.00461369382473,0.0181092858837,0.00173454279203,-0.013089376848,-0.00988495731685
Glutamate [NMDA] receptor subunit epsilon 2,-0.00370983571403,0.0194878885803,-0.00335043867749,0.00989206505971,0.00859571286083,-0.0121672055008,-0.00223512627068,-0.0342636041224,0.0103217965525,0.0146252395251,0.0137302125418
Serine/threonine-protein kinase RAF,-0.0226910144088,-0.0186608467562,0.0051748146043,0.0151160176212,0.00687310180833,0.00261764987465,0.00186247948307,-0.000635406022629,0.0111315030021,0.00511160032761,0.00841567144817
Aminopeptidase N,-0.00978939873635,0.0180225560407,0.0111468855349,0.0028384820925,-0.00859830935153,0.00188877351225,-0.00574344845279,-0.0205717744724,0.000231024176218,0.00896311900505,0.00644359339204
Cytochrome P450 11B1,-0.0184885223755,-0.00725121644975,-0.0208172137453,0.00657509419559,-0.0105394982895,0.0251365829975,-5.23815378234e-05,0.0477676265631,-0.0025234237185,-0.0229601779242,-0.00951456042733
Mitogen-activated protein kinase kinase kinase 12,0.00971116791478,0.00145996563824,0.00280751231127,-0.00384885434768,-0.0139985667048,-0.00261492717552,-0.00185722748493,-0.0131417201463,-0.00620336122775,0.0169771283997,0.00964667225529
Platelet-derived growth factor receptor beta,0.0105559982926,0.0141627022108,0.00731000069573,-0.0127456036165,-0.00463989752924,-0.00462145917631,-0.00687012338421,-0.0266204278256,0.00315983731971,0.0216733546845,-0.00787268866975
Butyrylcholinesterase,0.00520268485362,0.00430222335391,-0.00236844455579,-0.0116725368331,0.00397038957231,0.0114156336328,-0.00345981837712,0.00802645625809,-0.00763922847383,-0.0124441110383,-0.00810536501424
Alpha-2c adrenergic receptor,0.0203603332157,-0.0156048598739,-0.0041573147238,-0.0292309695257,0.00285937146442,0.0165799072528,-0.00238266273201,0.0144789746716,-0.0377628768113,0.0276700573436,-0.0158720828641
Somatostatin receptor 1,0.000877951750075,-0.0157998976697,-0.00988148585876,0.00447993517422,-0.00612913719133,-0.0118361369238,0.0115524542391,0.0386339859515,-0.00246253013931,-0.0197398257868,-0.00736709085487
Voltage-gated calcium channel alpha2/delta subunit 1,0.0176823463673,0.016510190841,0.00586053015241,0.0077837701282,-0.00397859638556,-0.0129418035157,0.00953713164841,0.00475226035354,0.00313034751852,-0.0185425806317,0.00430218952239
Vasopressin V1b receptor,-0.00242452763439,-0.00537487500131,-0.00414668108653,0.00582293314283,-0.00688023508919,-0.00520775088326,-0.00618112986341,0.00329761677305,0.0122273864667,-0.0110367897589,0.00203842607346
Protoporphyrinogen oxidase,-0.0117807957264,-0.00296937390874,0.00326750420343,0.0020398692062,-0.00205955553129,0.00432412079497,0.00081338931688,-0.00172347454678,0.00601927496232,0.00095769225141,0.00723885802718
Xanthine dehydrogenase,-0.0102151260846,-0.00765807599338,3.74992008347e-05,-0.00546673980885,0.00502264874897,0.0114441492386,0.00288762801304,0.00790347749,0.00216115410582,0.00113130820687,-0.00395439396266
Aldehyde dehydrogenase,-0.00556880558383,0.00395383760938,-2.34378149683e-05,0.0186570639,0.00103281636851,-0.00513548134333,-0.00402828671557,-0.0136671015234,0.00971468921463,0.0041927483205,0.00073308703544
Stem cell growth factor receptor,0.000944837355209,-0.00634442304917,-0.0111890367377,-0.00240038248021,0.00921839060148,0.00837796278665,-0.00929843302122,-0.0044726466291,-0.00346908425027,0.0110190262393,0.00296323549017
Histone deacetylase 2,-0.0128042155935,-0.0175540191816,-0.0073908870283,0.000531817733103,-0.00259709501786,0.00678314407412,0.00847903697465,0.0122911588577,-0.00159104521331,-0.00826470633722,-0.00433706065924
Lysine-specific demethylase 2A,0.0146393452854,0.0298250065703,0.0252788713058,0.0182779855163,0.000216263320878,-0.0325420171259,-0.0104839640207,-0.0259927244627,-0.0036181138995,-0.00236723223299,0.0118680295506
Histamine H2 receptor,-0.018520151872,-0.0151319552738,-0.00527330679203,0.0167491956683,-0.00590252479571,-0.000175065338216,0.00756409307884,0.0229323809423,0.0161162904447,-0.0162739154351,0.00194299937488
Alpha-2b adrenergic receptor,0.00290622065738,-0.0107672278534,-0.0261257984676,-0.0169438510676,-0.00828977610399,0.00586080084648,-0.00441359909604,0.00145897004306,-0.00583902336588,0.0281044604749,-0.0036939663067
Neprilysin,-0.00880966280955,0.00479835149465,0.0154418788765,0.00430874717339,0.00467635826834,0.00844049267117,0.00440330414636,-0.00909333518642,-0.00280572610149,-0.00817069375637,0.0178224619903
Melatonin receptor 1A,0.0106514346334,0.0126615216167,0.00685324327965,-0.00745511728462,0.0184834880487,7.51909745995e-05,0.0105035904538,-0.0191106596724,-0.00927630514676,-0.00258516983153,-0.000430270040018
Melatonin receptor 1B,0.00419718553387,-0.010644026417,0.00232726220202,0.0126658420252,-0.00703842198724,-0.0151457547335,-0.00909069491419,0.00763855462611,-0.00376527404996,0.00414582262728,-0.00305707127685
Thyroid hormone receptor beta-1,-0.000125798349352,0.00143701052575,-0.000713913895452,-0.00864262786569,0.00624503150219,0.00298627175049,0.00160331864829,0.00336148421562,0.010442523882,-0.00611839017283,-0.00533116814035
Cyclophilin A,0.0132845882257,-0.00695566539743,-0.00312648784227,-0.0329656812529,0.0121744108748,0.0156328465554,-0.000843291808473,0.00117307881078,-0.0138663748767,0.00440146998956,-0.0191622742116
Monoamine oxidase A,0.00427556841474,-0.00485114340737,0.0168788623698,-0.00607792538842,-0.012166545817,-2.66931159456e-05,0.012414304979,-0.00910678945876,-0.000273054991385,-0.00517741297086,0.016256453038
Thymidylate synthase,0.0178941057277,0.0120698027636,-0.00528008741417,0.000691015253999,0.00069140211414,-0.0126653649606,0.00458424875374,0.0158253838158,-0.0210668003992,-0.0120006756948,-0.0110682960326
Vascular endothelial growth factor receptor 3,-0.0177248227478,0.0110069840853,-0.00148835395232,0.0137031962444,-0.00869933061545,-0.0112609307046,-0.000172912950885,0.00934726286122,0.0200822615078,-0.00256269379524,0.0100798969132
Insulin-like growth factor I receptor,-0.000788070057583,0.0101096223747,0.00879164723633,0.0218152435422,0.0152820092341,-0.0164911305832,-0.000731228253395,-0.0182824497568,0.0072539668452,-0.0115178930633,0.00551731136672
