,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,1000.0,160.0,3.0,0.0,1.0,322.0,7.0,997.0,239.0,719.0,180.0
Leucine-rich repeat serine/threonine-protein kinase 2,996.0,836.0,162.0,517.0,989.0,78.0,88.0,18.0,107.0,910.0,319.0
Tyrosyl-DNA phosphodiesterase 1,6.0,839.0,108.0,674.0,1000.0,70.0,1000.0,5.0,60.0,990.0,28.0
Transitional endoplasmic reticulum ATPase,875.0,426.0,100.0,962.0,241.0,401.0,1.0,979.0,15.0,811.0,316.0
Glucokinase regulatory protein,999.0,203.0,64.0,40.0,14.0,921.0,35.0,992.0,550.0,409.0,328.0
Pyruvate kinase isozymes M1/M2,803.0,285.0,86.0,388.0,666.0,97.0,871.0,849.0,752.0,691.0,145.0
Transient receptor potential cation channel subfamily M member 8,898.0,607.0,26.0,487.0,1000.0,5.0,999.0,2.0,377.0,660.0,26.0
G-protein coupled receptor 55,917.0,987.0,429.0,660.0,750.0,262.0,973.0,3.0,847.0,982.0,544.0
Endoplasmin,0.0,743.0,922.0,460.0,669.0,996.0,974.0,107.0,996.0,283.0,397.0
Serine/threonine-protein kinase/endoribonuclease IRE1,13.0,299.0,842.0,998.0,78.0,819.0,114.0,995.0,96.0,237.0,382.0
Bromodomain-containing protein 4,188.0,956.0,947.0,974.0,360.0,73.0,461.0,1.0,754.0,615.0,977.0
NADPH oxidase 4,468.0,588.0,922.0,70.0,1.0,925.0,16.0,978.0,837.0,305.0,977.0
Ketohexokinase,717.0,855.0,50.0,461.0,975.0,486.0,959.0,211.0,348.0,986.0,156.0
Lethal(3)malignant brain tumor-like protein 1,42.0,10.0,832.0,930.0,628.0,635.0,191.0,982.0,10.0,135.0,149.0
Lethal(3)malignant brain tumor-like protein 3,944.0,598.0,814.0,63.0,26.0,688.0,451.0,367.0,767.0,6.0,734.0
Microtubule-associated protein tau,599.0,470.0,797.0,330.0,805.0,179.0,330.0,15.0,317.0,287.0,706.0
15-hydroxyprostaglandin dehydrogenase [NAD+],14.0,321.0,420.0,422.0,1000.0,442.0,995.0,28.0,399.0,150.0,134.0
G-protein coupled receptor 35,248.0,35.0,437.0,34.0,876.0,996.0,993.0,285.0,968.0,121.0,490.0
Bromodomain-containing protein 2,796.0,944.0,725.0,965.0,3.0,29.0,34.0,985.0,14.0,901.0,628.0
