,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,0.00980550769886,-0.000458875751994,-0.0127744949389,-0.00393745185611,-0.0182634614041,-0.00938721690489,-0.00910704177536,0.0138492416634,0.00759188018459,0.00583581847494,0.00515348017777
Leucine-rich repeat serine/threonine-protein kinase 2,-0.000969441373491,0.00304103130653,-0.00371714804485,-0.0132434265927,-0.0137481346168,0.0233464423826,-0.000255335780499,0.012738620968,0.0220331183819,0.0129967311272,0.0159711091709
Tyrosyl-DNA phosphodiesterase 1,0.0121709791605,0.00189915957545,0.0126652804248,0.00391092852026,0.010011719437,0.00971861419215,-0.00741152478678,-0.00703879618009,-0.0031309697378,0.011707353919,0.0162123480487
Transitional endoplasmic reticulum ATPase,0.00122634450396,0.00254890525877,0.00507787879697,0.00447465492483,0.00426960813349,-0.00809566816306,-0.00772980359251,-0.0053332094625,-0.0258726058818,0.00817475439946,-0.00755257848125
Glucokinase regulatory protein,0.00830995027837,0.00571531808082,-0.00654906457382,0.00462387234237,-0.0029385294165,-0.0266067380783,-0.00581844175671,0.0040154705386,-0.00198606470896,-0.0127806810373,-0.00930921171106
Pyruvate kinase isozymes M1/M2,-0.0090179065037,0.0025009744055,-0.010896989763,-0.00835373284331,0.00720383443109,0.0123677788283,0.00804738849947,-0.0102851593991,0.0142082273744,0.00359980220403,-0.00563104691789
Transient receptor potential cation channel subfamily M member 8,-0.00921114834271,-0.00306899728501,-0.000146657183516,0.001174244994,0.0115564458117,-0.00040351243898,-0.00539997870944,0.00268507390176,0.00555499486199,-0.00467405530593,-0.00266344414578
G-protein coupled receptor 55,-0.0210046723797,0.00229208140191,0.0113232429775,0.00525441646318,0.00542869061556,0.000608465187875,-0.00244231487551,0.00286202349098,-0.00967188529906,-0.00628093796769,-0.00940735490704
Endoplasmin,0.00734712666929,-0.0068442261821,0.00854813051258,-0.0049675102931,0.00472774915627,-0.00842270525176,0.00860624433933,-0.00955624754668,-0.00825801941747,0.000709778086453,-0.00414112327452
Serine/threonine-protein kinase/endoribonuclease IRE1,-0.00876309864588,0.00693898801824,-0.00412123576523,-0.0058550200645,4.35932703882e-05,0.00946551099415,-0.00522157207688,0.00648722772858,0.0199789200218,-0.0175390593546,-0.00485838835013
Bromodomain-containing protein 4,0.0234783645813,-0.00172256885289,0.0205556592648,-0.00731319516962,0.00408966074661,0.00496932138158,0.00556157293984,-0.0138793509918,-0.00259500351448,0.00246598191055,0.0123080736764
NADPH oxidase 4,-0.00311137385836,0.00199992924933,-0.0135459901603,0.00196612475607,-0.0176077746825,0.0125768642119,0.00544027787025,0.0115396597993,0.0180858951234,-0.000328835389404,0.00976837991711
Ketohexokinase,0.00460309093133,-0.00915217230201,-0.0072712410437,0.00324296917384,0.00275443742928,-0.0209111309021,0.00176250304747,-0.000776455720636,-0.0141543286203,-0.00409664889994,-0.00768694002484
Lethal(3)malignant brain tumor-like protein 1,0.00483036493236,0.0032208319959,0.0022431028871,0.00647345570968,-0.00884017984852,-0.0133794215488,-0.00605936883705,-0.00524514791651,-0.0244230874982,-0.00762950509001,-0.0142880681425
