,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,761.0,888.0,842.0,200.0,50.0,547.0,970.0,424.0,922.0,429.0,57.0
Leucine-rich repeat serine/threonine-protein kinase 2,153.0,608.0,971.0,922.0,936.0,247.0,691.0,159.0,17.0,845.0,772.0
Tyrosyl-DNA phosphodiesterase 1,529.0,200.0,956.0,312.0,323.0,674.0,852.0,498.0,276.0,335.0,142.0
Transitional endoplasmic reticulum ATPase,454.0,266.0,445.0,74.0,481.0,407.0,669.0,239.0,614.0,747.0,623.0
Glucokinase regulatory protein,384.0,955.0,228.0,238.0,655.0,541.0,879.0,74.0,693.0,823.0,787.0
Pyruvate kinase isozymes M1/M2,774.0,401.0,211.0,602.0,544.0,700.0,184.0,922.0,511.0,147.0,928.0
Transient receptor potential cation channel subfamily M member 8,823.0,280.0,95.0,288.0,348.0,463.0,195.0,940.0,609.0,16.0,149.0
G-protein coupled receptor 55,204.0,52.0,460.0,517.0,802.0,127.0,441.0,164.0,662.0,752.0,409.0
Endoplasmin,377.0,553.0,37.0,890.0,260.0,657.0,462.0,923.0,874.0,245.0,909.0
Serine/threonine-protein kinase/endoribonuclease IRE1,344.0,778.0,583.0,121.0,881.0,166.0,405.0,31.0,201.0,979.0,46.0
Bromodomain-containing protein 4,758.0,467.0,732.0,470.0,295.0,790.0,849.0,756.0,712.0,333.0,671.0
NADPH oxidase 4,861.0,421.0,971.0,495.0,110.0,85.0,983.0,94.0,434.0,716.0,349.0
Ketohexokinase,262.0,920.0,28.0,875.0,195.0,977.0,132.0,968.0,793.0,213.0,989.0
Lethal(3)malignant brain tumor-like protein 1,828.0,239.0,371.0,674.0,688.0,394.0,842.0,368.0,100.0,449.0,954.0
Lethal(3)malignant brain tumor-like protein 3,661.0,578.0,161.0,194.0,547.0,814.0,219.0,693.0,659.0,499.0,60.0
Microtubule-associated protein tau,38.0,68.0,993.0,514.0,611.0,664.0,769.0,202.0,541.0,682.0,532.0
15-hydroxyprostaglandin dehydrogenase [NAD+],973.0,730.0,449.0,725.0,165.0,304.0,974.0,546.0,373.0,677.0,962.0
G-protein coupled receptor 35,478.0,498.0,433.0,202.0,911.0,90.0,4.0,300.0,195.0,394.0,23.0
Bromodomain-containing protein 2,347.0,815.0,629.0,474.0,729.0,344.0,200.0,419.0,120.0,467.0,290.0
ATP-sensitive inward rectifier potassium channel 1,871.0,775.0,840.0,113.0,734.0,181.0,169.0,138.0,373.0,397.0,16.0
Neuropeptides B/W receptor type 1,594.0,499.0,477.0,283.0,35.0,900.0,1000.0,763.0,565.0,737.0,997.0
Menin,855.0,331.0,637.0,718.0,168.0,585.0,969.0,630.0,702.0,413.0,552.0
Nuclear receptor ROR-gamma,375.0,460.0,80.0,510.0,338.0,561.0,358.0,216.0,950.0,317.0,499.0
Enteropeptidase,89.0,70.0,147.0,909.0,726.0,846.0,297.0,753.0,866.0,458.0,994.0
Endothelial PAS domain-containing protein 1,237.0,679.0,879.0,344.0,662.0,141.0,23.0,513.0,155.0,279.0,1.0
Nicotinamide phosphoribosyltransferase,309.0,719.0,958.0,899.0,520.0,542.0,774.0,104.0,200.0,916.0,730.0
Replication protein A 70 kDa DNA-binding subunit,195.0,290.0,388.0,910.0,346.0,709.0,706.0,964.0,296.0,302.0,737.0
DNA topoisomerase I,354.0,548.0,938.0,465.0,925.0,143.0,406.0,181.0,46.0,729.0,427.0
Farnesyl diphosphate synthase,589.0,480.0,181.0,32.0,940.0,263.0,83.0,338.0,401.0,434.0,185.0
Glucagon-like peptide 1 receptor,842.0,813.0,492.0,919.0,499.0,655.0,936.0,742.0,261.0,476.0,905.0
Endothelin receptor ET-B,597.0,84.0,840.0,449.0,338.0,44.0,91.0,500.0,176.0,558.0,9.0
Steroid 5-alpha-reductase 1,198.0,609.0,151.0,78.0,445.0,566.0,349.0,489.0,575.0,405.0,661.0
Vasopressin V2 receptor,708.0,748.0,213.0,712.0,125.0,865.0,294.0,489.0,981.0,354.0,515.0
Somatostatin receptor 5,43.0,385.0,162.0,273.0,924.0,440.0,254.0,592.0,622.0,672.0,204.0
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",651.0,550.0,585.0,54.0,473.0,891.0,840.0,390.0,513.0,503.0,345.0
Transmembrane protease serine 6,519.0,860.0,830.0,974.0,489.0,898.0,838.0,856.0,541.0,570.0,988.0
Bromodomain-containing protein 3,908.0,365.0,310.0,779.0,283.0,468.0,814.0,280.0,619.0,609.0,382.0
Cysteinyl leukotriene receptor 1,879.0,618.0,605.0,111.0,123.0,862.0,638.0,585.0,634.0,274.0,243.0
Corticotropin releasing factor receptor 1,562.0,203.0,186.0,153.0,543.0,41.0,520.0,328.0,708.0,482.0,538.0
Plasminogen,36.0,330.0,170.0,834.0,187.0,630.0,391.0,899.0,652.0,469.0,753.0
Leukocyte adhesion glycoprotein LFA-1 alpha,967.0,386.0,703.0,302.0,983.0,11.0,556.0,42.0,281.0,211.0,82.0
Somatostatin receptor 2,450.0,862.0,634.0,688.0,282.0,866.0,123.0,810.0,926.0,177.0,52.0
DNA topoisomerase II alpha,391.0,549.0,962.0,478.0,589.0,666.0,871.0,103.0,198.0,903.0,464.0
Angiotensin-converting enzyme,220.0,544.0,129.0,873.0,407.0,856.0,767.0,949.0,448.0,412.0,1000.0
Prostanoid EP1 receptor,649.0,106.0,21.0,218.0,592.0,328.0,50.0,785.0,644.0,288.0,668.0
Muscarinic acetylcholine receptor M4,568.0,843.0,449.0,972.0,820.0,571.0,113.0,802.0,276.0,261.0,584.0
Inosine-5'-monophosphate dehydrogenase 1,41.0,366.0,783.0,23.0,351.0,300.0,901.0,108.0,670.0,902.0,460.0
