,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,0.0131018759404,0.000574789405103,-0.00590193425317,-0.00694308340437,-0.0174397197685,0.0174658685339,-0.00243848294305,0.0105081645112,-0.0134959072057,0.00115983316048,-0.00226349313092
Leucine-rich repeat serine/threonine-protein kinase 2,-0.00660082157975,0.000931063794658,0.000588462561869,0.00167630055313,-0.00584684060342,0.012950557512,0.0121596621954,-0.00799644372258,0.0175866289086,0.0303554855041,-0.0109052324871
Tyrosyl-DNA phosphodiesterase 1,-0.0134227229878,0.000957557767975,0.00535023220798,0.0140263263947,-0.00970628966618,-0.00458771703845,-0.00040247114424,-0.000672492974286,-0.000151522694298,-0.00203181041733,-0.00441106193916
Transitional endoplasmic reticulum ATPase,-0.0112134589706,-0.00566889485578,-0.0124018848472,0.0176789227409,-0.00407668708477,0.00996881000081,0.000801138392211,0.0252038832848,0.00537052741848,0.0121795379395,-0.000353229542891
Glucokinase regulatory protein,0.0152478917156,0.00508865905105,0.00726937492459,-0.0167880569246,0.00450958978741,0.00151818226962,-0.00367878735123,-0.0199757408473,-0.00153176126495,-0.00680865569399,0.00150669595012
Pyruvate kinase isozymes M1/M2,-0.0183783900932,0.0131614078924,0.0123599255629,0.0155982079552,0.00259642971232,-0.00809577343381,0.00346857122063,-0.00951459610104,-0.00249249776481,-0.00450609173696,0.020120743112
Transient receptor potential cation channel subfamily M member 8,0.0139919572704,-0.00576749913993,0.00544700851552,-0.0142154231647,-0.000158690368065,-0.00591731961187,0.00265133485975,-0.00953842058404,0.00165902632639,-0.0183986976793,-0.00437365703777
G-protein coupled receptor 55,-0.00426457246046,0.000785064673715,0.00318734594622,-0.00463402280014,0.00804212384384,0.0110046158371,0.00541059862913,-0.0108527767228,0.00634625084079,-0.0241057410274,0.0132374547294
Endoplasmin,0.00723679843847,0.000893581165545,0.00476324310792,-0.00300514940252,-0.011436581421,-0.00825584041151,0.00548023596608,0.0107422553053,-0.0181898866046,-0.00780761993489,-0.0110639049379
Serine/threonine-protein kinase/endoribonuclease IRE1,-0.0049357968947,0.00854780432114,-0.000493337620573,-0.000419957702887,0.00409109177903,0.00203844331435,-0.00161789005736,-0.0122172833474,0.0180693008649,0.0111940201621,0.00594966062392
Bromodomain-containing protein 4,-0.00567760916823,0.0199365935891,-0.00891572380057,0.00470699204804,0.00319146572588,-0.00346684926449,-0.00221861282541,0.000192549165652,0.00462743107055,0.00420052836574,-0.00652796600623
NADPH oxidase 4,-0.00722155458501,0.0103654096695,-0.00291394401947,-0.00926917480269,-0.00264078182779,-0.00460835656638,-0.000926244292854,0.00974757878152,-0.0116139987582,0.00187830539469,-0.00368984614909
Ketohexokinase,-0.000277564157731,-0.00381381480036,-0.00609283370135,-0.00390611431376,0.0055459176646,0.0177862527226,0.00494655108842,-0.0139299991384,0.0178073416248,-0.020474083049,0.0178599248511
Lethal(3)malignant brain tumor-like protein 1,0.0240854781071,-0.0161288277488,-0.00649523706667,-0.00144938184756,-0.00808568558837,-0.00449087457353,-0.00465642470215,0.00789063203842,0.000327860119878,-0.0072575639638,-0.00487381437776
Lethal(3)malignant brain tumor-like protein 3,0.0329392639821,-0.031024466145,-0.00682029589229,-0.00143095920098,0.00368874536047,0.00858711314261,-0.0155192353165,0.0160809290157,-0.00204669808316,-0.0126829546023,-0.0150796320359
Microtubule-associated protein tau,-0.0106408748041,0.00673974275229,0.0170710076727,0.0146905988919,-0.0133882301621,0.00703753573767,0.00349232944075,-0.0211396857689,0.00553665142515,-0.00117969348133,0.012441165711
15-hydroxyprostaglandin dehydrogenase [NAD+],0.0171335247558,0.00293060966386,0.0156420391607,-0.0131422932377,0.00490217316542,-0.0181653369689,0.000626406861759,-0.0017158794583,-0.0226586453163,-0.00632387837402,-0.0112543809349
G-protein coupled receptor 35,0.0011172277224,-0.00146499440078,-0.00724407566929,-0.0155717134853,0.000584320471216,-0.00403292160886,0.0114979257558,0.0192814577836,-0.0151205854937,0.0358850155789,-0.0253713212965
Bromodomain-containing protein 2,-0.0135617774912,0.00103270121816,-0.00494107566325,0.00635606014687,-0.00321737421764,0.00410905031454,-0.00457856771294,0.00850681364228,-0.00901827300692,0.00654725444301,0.0090558371562
ATP-sensitive inward rectifier potassium channel 1,-0.0200271957214,0.00222306971121,0.00292716953205,0.0198197195113,0.0092788840492,-0.000931548056456,0.00599506479134,-0.00628844864317,-0.00282633109116,0.02155773159,0.000995200788152
Neuropeptides B/W receptor type 1,-0.0116243140247,-0.00213283986168,-0.00375999519674,0.00833505722591,-0.00229070380786,0.00450586312044,-0.00507989313471,0.00108712961529,0.0097441068159,-0.0126270377161,0.0155985378063
Menin,0.0253458235008,0.0140300413806,-0.010665369214,-0.00638015498185,-0.00290540218979,-0.0151160281837,-0.010569158819,0.0117843809503,0.00889313604394,0.00881551349497,-0.0195700068913
Nuclear receptor ROR-gamma,-0.00648373298744,0.00725828312271,-0.00452953973992,-0.0148314498969,-0.00470743337778,0.00145229020447,0.00222414498141,0.00445418363775,0.00633815763093,0.0152840299726,-0.00710358308976
Enteropeptidase,0.0133106933043,-0.00380510962368,0.00268759615505,-0.00474257027474,0.0093800612153,-0.0112755248429,-0.0167242033225,0.00221416399428,-0.0183459306789,-0.00940002396191,0.00189475085044
Endothelial PAS domain-containing protein 1,-0.00930530609594,-0.00282725691747,0.00953412228245,0.0152781593843,0.0233794310882,0.00166716597175,0.000921733066523,-0.0103494167734,0.0174397578105,-0.00278770243625,0.00896553245952
Nicotinamide phosphoribosyltransferase,-0.00667113427572,0.00639760923001,0.00970732564207,-0.0124055571057,-0.0148423745229,0.00691151725449,0.0134175039972,-0.0113392786031,-0.00445212714307,0.00570070229327,-0.00464954916227
