,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Arginase-1,-0.000540412354279,-0.00957737927891,-0.0203341276978,0.0065091753667,-0.00688223753365,0.0170056628391,-0.0121091409353,0.0144030059281,-0.00779645754783,0.013137899912,0.0137674257079
Leucine-rich repeat serine/threonine-protein kinase 2,-0.00121085617132,-0.0120525384844,-0.00709682352861,0.00763901577452,-0.0311433153714,-0.00181534670182,-0.0223904932373,0.00998227184726,-0.00598957046267,-0.0137018432944,-0.00860108460379
Tyrosyl-DNA phosphodiesterase 1,-0.0383759609604,-0.00188181943168,-0.00495802530497,0.00555156824427,0.0166145699075,0.0153632978807,0.0156707192216,0.00451445539276,0.00350595604955,-0.00738269808419,0.00576220963964
Transitional endoplasmic reticulum ATPase,0.00471255375429,0.021256094934,0.0132281599783,0.000743584301654,0.0276793957963,0.0203841654267,0.00735202919181,-0.0245985320834,-0.00207415755392,0.0134723381293,0.025142847106
Glucokinase regulatory protein,-0.0299497939331,0.00682455487072,-0.0108184768153,0.0284816408537,0.0137519616107,0.0083061848468,0.0152325053517,0.0123714279464,-0.00549460948149,0.00330223244917,0.0245995585258
Pyruvate kinase isozymes M1/M2,-0.00816571601232,0.0129231215754,0.00980086892482,0.015251371541,0.0192119440401,-0.00689976378219,0.00546767723318,-0.025735003141,0.00215202910894,-0.00295834566025,-0.0259889926472
Transient receptor potential cation channel subfamily M member 8,-0.0184231397202,-0.0275024494874,0.00740299198216,0.00755363484924,0.01003368185,0.00660220632842,0.00827689663124,0.00413250390613,-0.00384667760224,-0.00436058787824,0.00653367862962
G-protein coupled receptor 55,-0.0197109061381,0.0324022749681,-0.0052331795202,-0.0180516880954,-0.0225641615526,0.00127518521362,0.0152643597283,0.0460491905372,-0.000909217388592,-0.0119045235022,-0.00187125836082
Endoplasmin,-0.0209483342034,-0.0249313392232,-0.0136584169432,0.0175969051186,0.0290389400277,0.0110817688277,-0.0120704383333,-0.0196432381511,-0.00264059230245,0.0310815010521,-0.00153099652008
Serine/threonine-protein kinase/endoribonuclease IRE1,0.0316354028487,0.03141882066,0.00160263360692,-0.0133182809091,-0.012136924723,-0.0289429465854,0.00245143512693,-0.00946996188495,0.0106365826145,-0.0182428879982,0.0115851848532
Bromodomain-containing protein 4,-0.000922162650061,-0.021338988093,0.000413520902489,-0.0021673296358,-0.0179806619386,0.0144129914495,0.00927725433183,0.032119694708,0.000141519529324,0.0037355640217,-0.00453468277767
NADPH oxidase 4,-0.0262890181997,-0.00711759005068,-0.00217749755203,0.0145856446166,0.0329540023957,0.00428143142251,0.00184270880277,-0.0302036539073,0.00269803341003,0.00205312900942,0.0198069322578
Ketohexokinase,-0.00692679043682,0.0312503729973,0.0101778554018,0.0120946380926,0.0102118704037,-0.000739468888026,0.000288301380073,-0.0178603272926,0.000695674730951,-0.0211830930076,0.0258345652484
Lethal(3)malignant brain tumor-like protein 1,0.00218688318665,0.0106537484563,0.0142574040668,-0.0331922753418,-0.0168186612276,0.0260566071194,0.0134639155617,0.0470381298685,-0.00712427921054,-0.00156683932767,-0.00148396477752
Lethal(3)malignant brain tumor-like protein 3,0.0250257934355,-0.0342317924113,-0.0110615443812,-0.007464996646,-0.0254513565411,0.0173245650518,-0.0043208134794,0.0295922844066,0.000460558392301,0.0240249883267,-0.00839492306454
Microtubule-associated protein tau,-0.0061321330109,-0.033180020265,-0.0116833836204,0.0168949410192,0.0266508949564,0.00195523662955,-0.0106846045753,-0.032120845665,-0.00647947639081,0.0118528492851,-0.0186441685842
15-hydroxyprostaglandin dehydrogenase [NAD+],-0.0126719181502,0.0306661663016,0.00526181846717,0.0173992699201,0.0257817459196,-0.0226778376879,-0.00352766295693,-0.0375606459487,0.00421701188773,-0.00246775472237,0.00366036477768
G-protein coupled receptor 35,0.0325954313919,-0.0566748822891,-0.0276257771627,-0.0248368857281,-0.0634029690174,-0.00924550652677,-0.0204305261801,0.0511658765445,-0.000297068979303,0.00656412865821,-0.0375916454424
Bromodomain-containing protein 2,-0.0210228050231,-0.00126476638905,-0.00418211968372,0.0317276702718,0.0235128541744,0.00290886015869,0.0027393165268,-0.0299893485811,0.0101394019169,-0.00145295702834,0.0183454221642
ATP-sensitive inward rectifier potassium channel 1,0.0155445826403,0.00180602300111,0.00906369151108,-0.0059141332648,-0.00913963866227,-0.0148526515085,-0.0181678382389,-0.0119787769405,-0.00856808427579,-0.00290758648216,-0.0157447053346
